"nvestee_ompany_ame","nvestee_ompany_ation","nvestee_ompany_conomic_ector","nvestment_ate","ound_umber","nvestment_tage","irm_nvestor_ame","und_nvestor_ame","nvestor_quity_otal_illions","isclosed_und_quity_ontribution_illions","ound_quity_otal_illions","isclosed_ebt_ontribution_illions","eal_alue_illions","eal_ank_alue_illions","year"
"99 Algorithms Pvt Ltd","India","Technology",2020-02-18,1,"Expansion","Indian Angel Network Services Pvt Ltd","IAN Fund",1,0,3,0,0,3,2020
"99 Algorithms Pvt Ltd","India","Technology",2020-02-18,1,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,3,0,0,3,2020
"99 Algorithms Pvt Ltd","India","Technology",2020-02-18,1,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,3,0,0,3,2020
"99 Algorithms Pvt Ltd","India","Technology",2020-02-18,1,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,3,0,0,3,2020
"9X Media Pvt., Ltd.","India","Consumer Cyclicals",2007-03-15,1,"Acquisition","Kotak Alternate Asset Managers Limited","Kotak Investment Advisors, Ltd. - Unspecified Fund",0,0,0,0,300,300,2007
"9X Media Pvt., Ltd.","India","Consumer Cyclicals",2007-03-15,1,"Acquisition","New Silk Route Partners LLC","New Silk Route Partners LLC - Unspecified Fund",0,0,0,0,300,300,2007
"9X Media Pvt., Ltd.","India","Consumer Cyclicals",2007-03-15,1,"Acquisition","New Vernon Pvt Equity Ltd","New Vernon Private Equity - Unspecified Fund",0,0,0,0,300,300,2007
"9X Media Pvt., Ltd.","India","Consumer Cyclicals",2007-03-15,1,"Acquisition","Temasek Holdings Pvt Ltd","Temasek Capital - Direct Investment Fund",0,0,0,0,300,300,2007
"9X Media Pvt., Ltd.","India","Consumer Cyclicals",2010-06-01,2,"Pending Acquisition","New Silk Route Partners LLC","New Silk Route PE Asia Fund, L.P.",0,0,0,0,20,20,2010
"A K Capital Services Ltd","India","Financials",2007-10-14,1,"PIPE","RMB Corvest (Pty) Limited","RMB Ventures Fund",0,0,9,0,0,9,2007
"A K Capital Services Ltd","India","Financials",2007-10-14,1,"PIPE","Undisclosed Firm","Undisclosed Fund",9,0,9,0,0,9,2007
"A Little World Pvt  Ltd","India","Financials",2007-03-14,1,"Expansion","Legatum Capital","Legatum Capital- Unspecified Fund",2,2,2,0,0,2,2007
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2011-03-18,1,"Expansion","Walden International","Walden International - Unspecified Fund",6,6,6,0,0,6,2011
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2014-01-14,2,"Expansion","Sequoia Capital Operations LLC","Sequoia Capital - Unspecified Fund",7,0,13,0,0,13,2014
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2014-01-14,2,"Expansion","Walden International","Walden International - Unspecified Fund",7,0,13,0,0,13,2014
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2015-07-02,3,"Expansion","Eight Roads Services (UK) Ltd","Eight Roads Capital Advisors (Hong Kong) Ltd - UF",12,0,60,0,0,60,2015
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2015-07-02,3,"Expansion","Sequoia Capital Operations LLC","Sequoia Capital - Unspecified Fund",12,0,60,0,0,60,2015
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2015-07-02,3,"Expansion","Undisclosed Firm","Undisclosed Fund",12,0,60,0,0,60,2015
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2015-07-02,3,"Expansion","Undisclosed Firm","Undisclosed Fund",12,0,60,0,0,60,2015
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2015-07-02,3,"Expansion","Walden International","Walden International - Unspecified Fund",12,0,60,0,0,60,2015
"A2 Media Pvt Ltd","India","Technology",2011-11-17,1,"Expansion","Elevation Capital","SAIF Partners - Unspecified Fund",5,5,5,0,0,5,2011
"A2Z Maintenance & Engineering Services Pvt., Ltd.","India","Industrials",2007-09-12,1,"Expansion","Baer Capital Partners Ltd","Beacon India Private Equity Fund, The",19,19,19,0,0,19,2007
"A2Z Maintenance & Engineering Services Pvt., Ltd.","India","Industrials",2009-10-20,2,"Expansion","Baer Capital Partners Ltd","Beacon India Private Equity Fund, The",16,0,33,0,0,33,2009
"A2Z Maintenance & Engineering Services Pvt., Ltd.","India","Industrials",2009-10-20,2,"Expansion","IEP Fund Advisors Pvt Ltd","India Equity Partners",16,0,33,0,0,33,2009
"A4 Hospitals & Fertility Centre Pvt Ltd","India","Healthcare",2024-10-09,1,"Pending Acquisition","360 One Wam Group","360 ONE Healthcare Opportunities Fund",0,0,0,0,0,0,2024
"Aadhaar Wholesale Trading and Distribution Ltd","India","Consumer Non-Cyclicals",2014-12-12,1,"Acquisition","Future Consumer Ltd","Future Consumer Enterprises, Ltd. - Unspecified Fund",8,8,8,0,8,8,2014
"Aadhar Housing Finance Ltd","India","Financials",2019-06-10,1,"LBO","Blackstone Inc","Blackstone Group, L.P. - Unspecified Fund",115,115,115,0,115,115,2019
"Aadhar Housing Finance Ltd","India","Financials",2024-09-30,2,"PIPE","Kotak Alternate Asset Managers Limited","Kotak Pre-IPO Opportunities Fund",6,0,6,0,0,6,2024
"Aadventure Infotech Pvt Ltd","India","Technology",2020-05-06,1,"Expansion","Ah Ventures India Pvt Ltd","AH! Ventures India Pvt Ltd - Unspecified Fund",0,0,0,0,0,0,2020
"Aahaa Stores Pvt Ltd","India","Technology",2017-09-01,2,"Expansion","YourNest Capital Advisors Pvt Ltd","YourNest Angel Fund",1,0,1,0,0,1,2017
"Aahaa Stores Pvt Ltd","India","Technology",2018-06-25,3,"Expansion","Calega Resources Investment LLC","Calega Resources Investment LLC - Unspecified Fund",2,0,2,0,0,2,2018
"Aakash Educational Services Limited","India","Academic & Educational Services",2019-10-30,1,"Acquisition","Blackstone Inc","Blackstone Group, L.P. - Unspecified Fund",0,0,0,0,0,0,2019
"Aakash Educational Services Limited","India","Academic & Educational Services",2020-01-03,2,"Acquisition for Expansion","Blackstone Inc","Blackstone Group, L.P. - Unspecified Fund",0,0,0,0,7,7,2020
"Aamdhane Private Ltd","India","Technology",2024-08-01,1,"Expansion","Tamilnadu Infrastructure Fund Management Corp Ltd","Tamil Nadu Emerging Sector Seed Fund",0,0,0,0,0,0,2024
"Aamdhane Private Ltd","India","Technology",2024-08-01,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2024
"Aamdhane Private Ltd","India","Technology",2024-08-01,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2024
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Dexter Ventures","Dexter Ventures - Unspecified Fund",0,0,4,0,0,4,2024
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Huddle Ventures","Huddle Ventures Fund II",0,0,4,0,0,4,2024
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Mga Ventures","MGA Ventures - Unspecified Fund",0,0,4,0,0,4,2024
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Sorin Advisors LLP","Sorin Investments",0,0,4,0,0,4,2024
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024
"Aarthi Scans Pvt Ltd","India","Healthcare",2022-05-24,1,"Acquisition","Tata Capital Ltd","Tata Capital - Unspecified Fund",0,0,0,0,0,0,2022
"Aavas Financiers Ltd","India","Financials",2016-02-12,1,"Pending Acquisition","Kedaara Capital Investment Managers Ltd","Kedaara Capital Fund I",0,0,0,0,139,139,2016
"Aavas Financiers Ltd","India","Financials",2016-02-12,1,"Pending Acquisition","Partners Group Holding AG","Partners Group AG - Unspecified Fund",0,0,0,0,139,139,2016
"Aavas Financiers Ltd","India","Financials",2016-02-12,1,"Pending Acquisition","Undisclosed Firm","Undisclosed Fund",0,0,0,0,139,139,2016
"Aavas Financiers Ltd","India","Financials",2024-08-10,3,"Acquisition","CVC Capital Partners SICAV-FIS SA","CVC Capital Partners Ltd - Unspecified Fund",0,0,0,0,0,0,2024
"Aayuv Technologies Pvt Ltd","India","Technology",2019-11-13,3,"Expansion","Eight Roads Services (UK) Ltd","Eight Roads Capital Advisors (Hong Kong) Ltd - UF",1,0,4,0,0,4,2019
"Aayuv Technologies Pvt Ltd","India","Technology",2019-11-13,3,"Expansion","Touchstone Equities Ltd","Touchstone Equities - Unspecified Fund",1,0,4,0,0,4,2019
"Aayuv Technologies Pvt Ltd","India","Technology",2019-11-13,3,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,4,0,0,4,2019
"Aayuv Technologies Pvt Ltd","India","Technology",2019-11-13,3,"Expansion","Ventureast","Ventureast - Unspecified Fund",1,0,4,0,0,4,2019
"Aayuv Technologies Pvt Ltd","India","Technology",2022-03-17,4,"Expansion","Eight Roads Services (UK) Ltd","Eight Roads Capital Advisors (Hong Kong) Ltd - UF",3,0,15,0,0,15,2022
"Aayuv Technologies Pvt Ltd","India","Technology",2022-03-17,4,"Expansion","Endiya Partners","Endiya Partners",3,0,15,0,0,15,2022
"Aayuv Technologies Pvt Ltd","India","Technology",2022-03-17,4,"Expansion","HealthQuad Advisors Pvt Ltd","HealthQuad Fund II",3,0,15,0,0,15,2022
"Aayuv Technologies Pvt Ltd","India","Technology",2022-03-17,4,"Expansion","Sabre Partners India Advisors Pvt Ltd","Spring Healthcare Fund",3,0,15,0,0,15,2022
"Aayuv Technologies Pvt Ltd","India","Technology",2022-03-17,4,"Expansion","Siana Capital Management LLP","Siana Capital Management - Unspecified Fund",3,0,15,0,0,15,2022
"Aayuv Technologies Pvt Ltd","India","Technology",2022-03-17,4,"Expansion","Ventureast","Ventureast Proactive Fund II",3,0,15,0,0,15,2022
"Aban Offshore Ltd","India","Energy",2012-02-03,1,"PIPE","Goldman Sachs Asset Management International LLC","Goldman Sachs Asset Management  - Unspecified Fund",5,5,5,0,0,5,2012
"Abee Research Labs Pvt. Ltd","India","Technology",2023-04-17,2,"Expansion","Axilor Ventures Pvt Ltd","Axilor Ventures Pvt Ltd - Unspecified Fund",1,0,4,0,0,4,2023
"Abee Research Labs Pvt. Ltd","India","Technology",2023-04-17,2,"Expansion","Pi Ventures LLP","pi Ventures - Unspecified Fund",1,0,4,0,0,4,2023
"Abee Research Labs Pvt. Ltd","India","Technology",2023-04-17,2,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,4,0,0,4,2023
"Abee Research Labs Pvt. Ltd","India","Technology",2023-04-17,2,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,4,0,0,4,2023
"Abee Research Labs Pvt. Ltd","India","Technology",2023-04-17,2,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,4,0,0,4,2023
"Abg Motors","India","Industrials",2007-11-23,1,"Acquisition for Expansion","Tano Capital LLC","Tano Private Equity Fund I",15,0,15,0,0,15,2007
"ABG Shipyard Ltd","India","Industrials",2005-06-01,1,"PIPE","IL & FS Investment Managers Ltd","Leverage India Fund, The",7,7,32,0,0,32,2005
"ABG Shipyard Ltd","India","Industrials",2005-06-01,1,"PIPE","Intermediate Capital Group PLC","Merlion India Fund",20,20,32,0,0,32,2005
"ABG Shipyard Ltd","India","Industrials",2005-06-01,1,"PIPE","Intermediate Capital Group PLC","Standard Chartered Private Equity Fund - DIF",5,5,32,0,0,32,2005
"ABG Shipyard Ltd","India","Industrials",2012-06-26,2,"PIPE","Nippon Investment & Finance Co Ltd","Nippon Investment and Finance",3,3,3,0,0,3,2012
"Abhay Cotex Pvt Ltd","India","Consumer Cyclicals",2011-08-10,1,"Expansion","Small Enterprise Assistance Funds","SEAF India Agribusiness Fund",6,6,6,0,0,6,2011
"Abhi Loans","India","Technology",2022-08-16,1,"Expansion","Dmi Alternatives Pvt Ltd","DMI Alternative Investments Sparkle Fund",0,0,0,0,0,0,2022
"Abhi Loans","India","Technology",2022-08-16,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2022
"Abhi Loans","India","Technology",2022-08-16,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2022
"Abita Innovations Pvt Ltd","India","Healthcare",2024-10-08,2,"Expansion","Alpha Wave Global LP","Alpha Wave Global LP - Unspecified Fund",2,0,6,0,0,6,2024
"Abita Innovations Pvt Ltd","India","Healthcare",2024-10-08,2,"Expansion","Chiratae Ventures India Advisors Pvt Ltd","Chiratae Ventures India Advisors Pvt Ltd - Unspecified Fund",2,0,6,0,0,6,2024
"Abita Innovations Pvt Ltd","India","Healthcare",2024-10-08,2,"Expansion","Peak Xv Partners","Peak XV Partners - Unspecified Fund",2,0,6,0,0,6,2024
"ACB (India) Ltd","India","Energy",2006-03-03,1,"Expansion","Warburg Pincus LLC","Warburg Pincus Private Equity IX, L.P.",1,1,1,0,0,1,2006
"ACB (India) Ltd","India","Energy",2007-04-13,2,"Expansion","Warburg Pincus LLC","Warburg Pincus Private Equity IX, L.P.",1,1,1,0,0,1,2007
"Accelerated Learning Edutech Pvt Ltd","India","Academic & Educational Services",2020-09-10,2,"Expansion","SARA Investments","SARA Investments",1,1,1,0,0,1,2020
"Accelero Vehicles India Pvt Ltd","India","Consumer Cyclicals",2022-02-24,1,"Expansion","LetsVenture Technologies Pvt Ltd","LetsVenture Technologies Pvt Ltd - Unspecified Fund",0,0,0,0,0,0,2022
"Accelero Vehicles India Pvt Ltd","India","Consumer Cyclicals",2022-02-24,1,"Expansion","Social Alpha","Social Alpha - Unspecified Fund",0,0,0,0,0,0,2022
"Accelyst Solutions Pvt Ltd","India","Technology",2012-01-24,2,"Expansion","Peak Xv Partners","Peak XV Partners - Unspecified Fund",4,4,4,0,0,4,2012
"Accelyst Solutions Pvt Ltd","India","Technology",2014-08-22,3,"Acquisition for Expansion","Peak Xv Partners","Peak XV Partners - Unspecified Fund",11,0,33,0,0,33,2014
"Accelyst Solutions Pvt Ltd","India","Technology",2014-08-22,3,"Acquisition for Expansion","Rtp Global Uk Ltd","ru-Net Ventures - Unspecified Fund",11,0,33,0,0,33,2014
"Accelyst Solutions Pvt Ltd","India","Technology",2014-08-22,3,"Acquisition for Expansion","Undisclosed Firm","Undisclosed Fund",11,0,33,0,0,33,2014
"Accelyst Solutions Pvt Ltd","India","Technology",2015-02-06,4,"Expansion","Peak Xv Partners","Peak XV Partners - Unspecified Fund",16,0,80,0,0,80,2015
"Accelyst Solutions Pvt Ltd","India","Technology",2015-02-06,4,"Expansion","Rtp Global Uk Ltd","ru-Net Ventures - Unspecified Fund",16,0,80,0,0,80,2015
"Accelyst Solutions Pvt Ltd","India","Technology",2015-02-06,4,"Expansion","Undisclosed Firm","Undisclosed Fund",16,0,80,0,0,80,2015
"Accelyst Solutions Pvt Ltd","India","Technology",2015-02-06,4,"Expansion","Undisclosed Firm","Undisclosed Fund",16,0,80,0,0,80,2015
"Accelyst Solutions Pvt Ltd","India","Technology",2015-02-06,4,"Expansion","Undisclosed Firm","Undisclosed Fund",16,0,80,0,0,80,2015
"Accentia Technologies Ltd (CN)","India","Healthcare",2009-06-29,1,"PIPE","Berggruen Holdings Ltd","Berggruen Holdings, Inc. - Unspecified Fund",0,0,0,0,0,0,2009
"Accentia Technologies Ltd (CN)","India","Healthcare",2012-02-27,2,"Pending Acquisition","Berggruen Holdings Ltd","Berggruen Holdings, Inc. - Unspecified Fund",0,0,0,0,3,3,2012
"Accentia Technologies Ltd (CN)","India","Healthcare",2012-02-27,2,"Pending Acquisition","Undisclosed Firm","Undisclosed Fund",0,0,0,0,3,3,2012
"Accentia Technologies Ltd (CN)","India","Healthcare",2012-02-27,2,"Pending Acquisition","Undisclosed Firm","Undisclosed Fund",0,0,0,0,3,3,2012
"Accerank Softwares Pvt Ltd","India","Technology",2021-08-04,1,"Expansion","Liquid 2 Ventures LP","Liquid 2 Ventures, L.P.- Unspecified Fund",0,0,2,0,0,2,2021
"Accerank Softwares Pvt Ltd","India","Technology",2021-08-04,1,"Expansion","Pioneer Fund","Pioneer Fund",0,0,2,0,0,2,2021
"Accerank Softwares Pvt Ltd","India","Technology",2021-08-04,1,"Expansion","Rebel Management LLC","Rebel Fund LLC",0,0,2,0,0,2,2021
"Accerank Softwares Pvt Ltd","India","Technology",2021-08-04,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,2,0,0,2,2021
"Accerank Softwares Pvt Ltd","India","Technology",2021-08-04,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,2,0,0,2,2021
"Accerank Softwares Pvt Ltd","India","Technology",2021-08-04,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,2,0,0,2,2021
"Acculi Labs Pvt Ltd","India","Healthcare",2024-08-01,2,"Expansion","Undisclosed Firm","Undisclosed Fund",2,0,2,0,0,2,2024
"Accutest Research Lab I Pvt Ltd","India","Healthcare",2006-07-19,1,"Expansion","Aureos Capital, Ltd.","Aureos Capital, Ltd. - Unspecified Fund",4,4,4,0,0,4,2006
"Accutest Research Lab I Pvt Ltd","India","Healthcare",2010-09-28,2,"Acquisition","Greater Pacific Capital Llp","Greater Pacific Capital I",0,0,0,0,0,0,2010
"Ace Refractories","India","Basic Materials",2005-09-30,1,"LBO","ICICI Venture Funds Management Company Ltd","India Advantage Fund Series 1",0,0,0,0,0,0,2005
"Ace Turtle Pte Ltd","India","Consumer Cyclicals",2017-05-08,1,"Expansion","C31 Ventures Pte Ltd","C31 Ventures - Unspecified Fund",3,0,5,0,0,5,2017
"Ace Turtle Pte Ltd","India","Consumer Cyclicals",2017-05-08,1,"Expansion","Vertex Ventures Us Fund I LP","Vertex Ventures - Unspecified Fund",3,0,5,0,0,5,2017
