Investee Company Name,Investee Company Nation,Investee Company TRBC Economic Sector,Investment Date,Round Number,Investment Stage,Firm Investor Name,Fund Investor Name,"Investor Equity Total
(USD, Millions)","Disclosed Fund Equity Contribution
(USD, Millions)","Round Equity Total
(USD, Millions)","Disclosed Debt Contribution
(USD, Millions)","Deal Value
(USD, Millions)","Deal Rank Value
(USD, Millions)"
Bunch Microtechnologies Pvt Ltd,India,Technology,2020-02-11,4,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,2,0,0,3
Bunch Microtechnologies Pvt Ltd,India,Technology,2020-05-04,5,Expansion,Blume Venture Advisors Pvt Ltd,Blume Venture Advisors - Unspecified Fund,2,0,9,0,0,9
Bunch Microtechnologies Pvt Ltd,India,Technology,2020-05-04,5,Expansion,IMJ Investment Partners Corp,Spiral Ventures Japan LLP - Unspecified Fund,2,0,9,0,0,9
Bunch Microtechnologies Pvt Ltd,India,Technology,2020-05-04,5,Expansion,RTP Global Advisors OOO,RTP Global LLC - Unspecified Fund,2,0,9,0,0,9
Bunch Microtechnologies Pvt Ltd,India,Technology,2020-05-04,5,Expansion,Strive Inc,STRIVE III,2,0,9,0,0,9
Bunch Microtechnologies Pvt Ltd,India,Technology,2020-05-04,5,Expansion,Surge Ahead,Surge - Unspecified Fund,2,0,9,0,0,9
Bunch Microtechnologies Pvt Ltd,India,Technology,2020-09-18,6,Expansion,Alpha Wave Global LP,Alpha Wave Incubation Fund,3,0,10,0,0,10
Bunch Microtechnologies Pvt Ltd,India,Technology,2020-09-18,6,Expansion,Blume Venture Advisors Pvt Ltd,Blume Venture Advisors - Unspecified Fund,3,0,10,0,0,10
Bunch Microtechnologies Pvt Ltd,India,Technology,2020-09-18,6,Expansion,RTP Global Advisors OOO,RTP Global LLC - Unspecified Fund,3,0,10,0,0,10
Bunch Microtechnologies Pvt Ltd,India,Technology,2021-06-24,7,Expansion,Alpha Wave Global LP,Alpha Wave Incubation Fund,13,0,65,0,0,65
Bunch Microtechnologies Pvt Ltd,India,Technology,2021-06-24,7,Expansion,Blume Venture Advisors Pvt Ltd,Blume Venture Advisors - Unspecified Fund,13,0,65,0,0,65
Bunch Microtechnologies Pvt Ltd,India,Technology,2021-06-24,7,Expansion,Gsv Acceleration LLC,GSV AcceleraTE Fund II LP,13,0,65,0,0,65
Bunch Microtechnologies Pvt Ltd,India,Technology,2021-06-24,7,Expansion,Rtp Global Uk Ltd,RTP Global Fund III,13,0,65,0,0,65
Bunch Microtechnologies Pvt Ltd,India,Technology,2021-06-24,7,Expansion,Tiger Global Management LLC,Tiger Global Management LLC - Unspecified Fund,13,0,65,0,0,65
Bunch Microtechnologies Pvt Ltd,India,Technology,2022-03-29,8,Expansion,Alpha Wave Global LP,Alpha Wave Global LP - Unspecified Fund,18,0,70,0,0,70
Bunch Microtechnologies Pvt Ltd,India,Technology,2022-03-29,8,Expansion,Chimera Capital Ltd,Alpha Wave Ventures II Fund,18,0,70,0,0,70
Bunch Microtechnologies Pvt Ltd,India,Technology,2022-03-29,8,Expansion,Rtp Global Uk Ltd,RTP Global Fund III,18,0,70,0,0,70
Bunch Microtechnologies Pvt Ltd,India,Technology,2022-03-29,8,Expansion,Tiger Global Management LLC,Tiger Global Management LLC - Unspecified Fund,18,0,70,0,0,70
Bunch Microtechnologies Pvt Ltd,India,Technology,2022-04-05,9,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Bundl Technologies Pvt Ltd,India,Technology,2018-02-08,7,Expansion,Prosus Ventures NV,Prosus Ventures - Unspecified Fund,50,0,100,0,0,100
Bundl Technologies Pvt Ltd,India,Technology,2018-02-08,7,Expansion,Undisclosed Firm,Undisclosed Fund,50,0,100,0,0,100
Bundl Technologies Pvt Ltd,India,Technology,2018-06-21,8,Expansion,Coatue Management LLC,Coatue Management LLC - Unspecified Fund,53,0,210,0,0,210
Bundl Technologies Pvt Ltd,India,Technology,2018-06-21,8,Expansion,DST Global,Digital Sky Technologies Ltd - Unspecified Fund,53,0,210,0,0,210
Bundl Technologies Pvt Ltd,India,Technology,2018-06-21,8,Expansion,Prosus Ventures NV,Prosus Ventures - Unspecified Fund,53,0,210,0,0,210
Bundl Technologies Pvt Ltd,India,Technology,2018-06-21,8,Expansion,Undisclosed Firm,Undisclosed Fund,53,0,210,0,0,210
Bundl Technologies Pvt Ltd,India,Technology,2018-12-20,9,Expansion,Coatue Management LLC,Coatue Management LLC - Unspecified Fund,143,0,"1,000",0,0,"1,000"
Bundl Technologies Pvt Ltd,India,Technology,2018-12-20,9,Expansion,DST Global,"DST Global V, L.P.",143,0,"1,000",0,0,"1,000"
Bundl Technologies Pvt Ltd,India,Technology,2018-12-20,9,Expansion,Hillhouse Capital Management Ltd,Hillhouse Capital Management - Unspecified Fund,143,0,"1,000",0,0,"1,000"
Bundl Technologies Pvt Ltd,India,Technology,2018-12-20,9,Expansion,Prosus Ventures NV,Prosus Ventures - Unspecified Fund,143,0,"1,000",0,0,"1,000"
Bundl Technologies Pvt Ltd,India,Technology,2018-12-20,9,Expansion,Undisclosed Firm,Undisclosed Fund,143,0,"1,000",0,0,"1,000"
Bundl Technologies Pvt Ltd,India,Technology,2018-12-20,9,Expansion,Undisclosed Firm,Undisclosed Fund,143,0,"1,000",0,0,"1,000"
Bundl Technologies Pvt Ltd,India,Technology,2018-12-20,9,Expansion,Wellington Management Company LLP,Wellington Management - Unspecified Fund,143,0,"1,000",0,0,"1,000"
Bundl Technologies Pvt Ltd,India,Technology,2020-02-19,10,Expansion,Prosus Ventures NV,Prosus Ventures - Unspecified Fund,38,0,113,0,0,113
Bundl Technologies Pvt Ltd,India,Technology,2020-02-19,10,Expansion,Undisclosed Firm,Undisclosed Fund,38,0,113,0,0,113
Bundl Technologies Pvt Ltd,India,Technology,2020-02-19,10,Expansion,Wellington Management Company LLP,Wellington Management - Unspecified Fund,38,0,113,0,0,113
Bundl Technologies Pvt Ltd,India,Technology,2020-05-19,11,Expansion,Korea Investment Partners Co Ltd,"Korea Investment Partners Co., Ltd. - Unspecified Fund",11,0,45,0,0,45
Bundl Technologies Pvt Ltd,India,Technology,2020-05-19,11,Expansion,Samsung Venture Investment Corp,Samsung Venture Investment Corporation - Unspecified Fund,2,2,45,0,0,45
Bundl Technologies Pvt Ltd,India,Technology,2020-05-19,11,Expansion,Undisclosed Firm,Undisclosed Fund,11,0,45,0,0,45
Bundl Technologies Pvt Ltd,India,Technology,2020-05-19,11,Expansion,Undisclosed Firm,Undisclosed Fund,11,0,45,0,0,45
Bundl Technologies Pvt Ltd,India,Technology,2020-05-19,11,Expansion,Undisclosed Firm,Undisclosed Fund,11,0,45,0,0,45
Bundl Technologies Pvt Ltd,India,Technology,2021-04-05,12,Expansion,Accel Partners Management LLP,Accel Partners & Co Inc - Unspecified Fund,89,0,800,0,0,800
Bundl Technologies Pvt Ltd,India,Technology,2021-04-05,12,Expansion,Alpha Wave Global LP,Alpha Wave Incubation Fund,89,0,800,0,0,800
Bundl Technologies Pvt Ltd,India,Technology,2021-04-05,12,Expansion,Amansa Capital Pte Ltd,Amansa Capital Pte. Ltd. - Unspecified Fund,89,0,800,0,0,800
Bundl Technologies Pvt Ltd,India,Technology,2021-04-05,12,Expansion,Goldman Sachs Asset Management International LLC,Goldman Sachs Asset Management  - Unspecified Fund,89,0,800,0,0,800
Bundl Technologies Pvt Ltd,India,Technology,2021-04-05,12,Expansion,Prosus Ventures NV,Prosus Ventures - Unspecified Fund,89,0,800,0,0,800
Bundl Technologies Pvt Ltd,India,Technology,2021-04-05,12,Expansion,Qatar Holding LLC,Qatar Holding LLC - Unspecified Fund,89,0,800,0,0,800
Bundl Technologies Pvt Ltd,India,Technology,2021-04-05,12,Expansion,Think Investments LP,Think Investments LP - Unspecified Fund,89,0,800,0,0,800
Bundl Technologies Pvt Ltd,India,Technology,2021-04-05,12,Expansion,Undisclosed Firm,Undisclosed Fund,89,0,800,0,0,800
Bundl Technologies Pvt Ltd,India,Technology,2021-04-05,12,Expansion,Undisclosed Firm,Undisclosed Fund,89,0,800,0,0,800
Bundl Technologies Pvt Ltd,India,Technology,2021-07-12,13,Expansion,Accel Partners Management LLP,Accel Partners & Co Inc - Unspecified Fund,89,0,"1,250",0,0,"1,250"
Bundl Technologies Pvt Ltd,India,Technology,2021-07-12,13,Expansion,Alpha Wave Global LP,Alpha Wave Global LP - Unspecified Fund,89,0,"1,250",0,0,"1,250"
Bundl Technologies Pvt Ltd,India,Technology,2021-07-12,13,Expansion,Amansa Capital Pte Ltd,Amansa Capital Pte. Ltd. - Unspecified Fund,89,0,"1,250",0,0,"1,250"
Bundl Technologies Pvt Ltd,India,Technology,2021-07-12,13,Expansion,Goldman Sachs Asset Management International LLC,Goldman Sachs Asset Management  - Unspecified Fund,89,0,"1,250",0,0,"1,250"
Bundl Technologies Pvt Ltd,India,Technology,2021-07-12,13,Expansion,Prosus Ventures NV,Prosus Ventures - Unspecified Fund,89,0,"1,250",0,0,"1,250"
Bundl Technologies Pvt Ltd,India,Technology,2021-07-12,13,Expansion,Qatar Investment Authority,Qatar Investment Authority - Unspecified Fund,89,0,"1,250",0,0,"1,250"
Bundl Technologies Pvt Ltd,India,Technology,2021-07-12,13,Expansion,SB Investment Advisers (UK) Ltd,Softbank Vision Fund II,450,450,"1,250",0,0,"1,250"
Bundl Technologies Pvt Ltd,India,Technology,2021-07-12,13,Expansion,Think Investments LP,Think Investments LP - Unspecified Fund,89,0,"1,250",0,0,"1,250"
Bundl Technologies Pvt Ltd,India,Technology,2021-07-12,13,Expansion,Undisclosed Firm,Undisclosed Fund,89,0,"1,250",0,0,"1,250"
Bundl Technologies Pvt Ltd,India,Technology,2021-07-12,13,Expansion,Wellington Management Company LLP,Wellington Management - Unspecified Fund,89,0,"1,250",0,0,"1,250"
"Bush Foods Overseas Pvt., Ltd.",India,Consumer Non-Cyclicals,2011-04-06,1,Acquisition,Affirma Capital Managers Singapore Pte Ltd,Affirma Capital Managers Singapore Pte Ltd -UF,25,25,25,0,25,25
Busybees Logistics Solutions Pvt Ltd,India,Industrials,2020-01-03,4,Expansion,Undisclosed Firm,Undisclosed Fund,10,0,10,0,0,10
Busybees Logistics Solutions Pvt Ltd,India,Industrials,2020-11-10,5,Expansion,Gaja Capital Partners,Gaja Capital- Unspecified Fund,35,0,110,0,0,110
Busybees Logistics Solutions Pvt Ltd,India,Industrials,2020-11-10,5,Expansion,Investcorp Holdings BSC,Investcorp Holdings - Unspecified Fund,35,0,110,0,0,110
Busybees Logistics Solutions Pvt Ltd,India,Industrials,2020-11-10,5,Expansion,Norwest Venture Partners,Norwest Venture Partners - Unspecified Fund,40,40,110,0,0,110
Busybees Logistics Solutions Pvt Ltd,India,Industrials,2022-02-09,6,Expansion,Blackstone Inc,Blackstone Growth LP,72,0,300,0,0,300
Busybees Logistics Solutions Pvt Ltd,India,Industrials,2022-02-09,6,Expansion,ChrysCapital LLP,ChrysCapital Management Companies - Unspecified Fund,72,0,300,0,0,300
Busybees Logistics Solutions Pvt Ltd,India,Industrials,2022-02-09,6,Expansion,Investcorp Holdings BSC,Investcorp Holdings - Unspecified Fund,72,0,300,0,0,300
Busybees Logistics Solutions Pvt Ltd,India,Industrials,2022-02-09,6,Expansion,Norwest Venture Partners,Norwest Venture Partners - Unspecified Fund,11,11,300,0,0,300
Busybees Logistics Solutions Pvt Ltd,India,Industrials,2022-02-09,6,Expansion,TPG Inc,TPG Growth V LP,72,0,300,0,0,300
Butterfly Edufields Pvt Ltd,India,Technology,2010-09-16,1,Expansion,Aavishkaar Venture Management Services Pvt Ltd,Aavishkaar India Micro Venture Capital Fund,1,1,1,0,0,1
Butterfly Gandhimathi Appliances Ltd,India,Consumer Cyclicals,2012-03-14,1,PIPE,Reliance Capital Ventures Ltd,Reliance Alternative Investments Fund - PE Scheme I,20,20,20,0,0,20
BVG India Ltd,India,Industrials,2011-01-25,2,Acquisition,3i Group PLC,3i Group PLC - Unspecified Fund,0,0,0,0,0,0
Bycyshare Technologies Pvt Ltd,India,Technology,2021-09-28,1,Expansion,100Unicorns,100Unicorns - Unspecified Fund,1,0,7,0,0,7
Bycyshare Technologies Pvt Ltd,India,Technology,2021-09-28,1,Expansion,Anthill Ventures Pte Ltd,Anthill Ventures - Unspecified Fund,1,0,7,0,0,7
Bycyshare Technologies Pvt Ltd,India,Technology,2021-09-28,1,Expansion,Dholakia Ventures Pvt Ltd,Dholakia Ventures - Unspecified Fund,1,0,7,0,0,7
Bycyshare Technologies Pvt Ltd,India,Technology,2021-09-28,1,Expansion,Indian Angel Network Services Pvt Ltd,IAN Fund,1,0,7,0,0,7
Bycyshare Technologies Pvt Ltd,India,Technology,2021-09-28,1,Expansion,Riso Capital LLC,RiSo Capital - Unspecified Fund,1,0,7,0,0,7
Bycyshare Technologies Pvt Ltd,India,Technology,2021-09-28,1,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,7,0,0,7
Bycyshare Technologies Pvt Ltd,India,Technology,2021-09-28,1,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,7,0,0,7
Bycyshare Technologies Pvt Ltd,India,Technology,2021-09-28,1,Expansion,Venture Catalysts Pvt Ltd,Venture Catalysts Pvt Ltd - Unspecified Fund,1,0,7,0,0,7
Bycyshare Technologies Pvt Ltd,India,Technology,2021-09-28,1,Expansion,We Founder Circle Pvt Ltd,We Founder Circle - Unspecified Fund,1,0,7,0,0,7
Bycyshare Technologies Pvt Ltd,India,Technology,2022-09-21,2,Expansion,Venture Catalysts Pvt Ltd,Venture Catalysts Pvt Ltd - Unspecified Fund,2,0,2,0,0,2
Bycyshare Technologies Pvt Ltd,India,Technology,2022-10-01,3,Expansion,Cap70 Angels Pvt Ltd,Cap70 Angels - Unspecified Fund,0,0,0,0,0,0
Bycyshare Technologies Pvt Ltd,India,Technology,2022-12-31,4,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,28,0,0,28
Bycyshare Technologies Pvt Ltd,India,Technology,2022-12-31,4,Expansion,Undisclosed Firm,Undisclosed Fund,25,0,28,0,0,28
Bycyshare Technologies Pvt Ltd,India,Technology,2022-12-31,4,Expansion,Undisclosed Firm,Undisclosed Fund,3,3,28,0,0,28
Bycyshare Technologies Pvt Ltd,India,Technology,2023-02-08,5,Expansion,100Unicorns,100Unicorns - Unspecified Fund,3,0,25,0,0,25
Bycyshare Technologies Pvt Ltd,India,Technology,2023-02-08,5,Expansion,Goodyear Ventures LLC,Goodyear Ventures,3,0,25,0,0,25
Bycyshare Technologies Pvt Ltd,India,Technology,2023-02-08,5,Expansion,Indian Angel Network Services Pvt Ltd,Indian Angel Network - Unspecified Fund,3,0,25,0,0,25
Bycyshare Technologies Pvt Ltd,India,Technology,2023-02-08,5,Expansion,Ivy Growth Associates,Ivy Growth Associates - Unspecified Fund,3,0,25,0,0,25
Bycyshare Technologies Pvt Ltd,India,Technology,2023-02-08,5,Expansion,LetsVenture Technologies Pvt Ltd,LetsVenture Technologies Pvt Ltd - Unspecified Fund,3,0,25,0,0,25
Bycyshare Technologies Pvt Ltd,India,Technology,2023-02-08,5,Expansion,Undisclosed Firm,Undisclosed Fund,3,0,25,0,0,25
Bycyshare Technologies Pvt Ltd,India,Technology,2023-02-08,5,Expansion,Undisclosed Firm,Undisclosed Fund,3,0,25,0,0,25
Bycyshare Technologies Pvt Ltd,India,Technology,2023-02-08,5,Expansion,Venture Catalysts Pvt Ltd,Venture Catalysts Pvt Ltd - Unspecified Fund,3,0,25,0,0,25
Bycyshare Technologies Pvt Ltd,India,Technology,2023-02-08,5,Expansion,We Founder Circle Pvt Ltd,We Founder Circle - Unspecified Fund,3,0,25,0,0,25
Bycyshare Technologies Pvt Ltd,India,Technology,2024-05-27,6,Expansion,Eneos Innovation Partners Llc,ENEOS Innovation Partners- UF,15,0,15,0,0,15
"Cadila Healthcare, Ltd.",India,Healthcare,2011-12-21,2,Acquisition for Expansion,GVFL Ltd,Gujarat Venture Capital Fund - 1990,0,0,0,0,0,0
Cairn Energy India Pty Ltd,India,Energy,2008-03-17,1,Acquisition,Orient Global,Richard Chandler Corporation - Unspecified Fund,0,0,0,0,625,625
Cairn Energy India Pty Ltd,India,Energy,2008-03-17,1,Acquisition,Undisclosed Firm,Undisclosed Fund,0,0,0,0,625,625
Calibre Chemicals Pvt Ltd,India,Basic Materials,2021-08-31,1,LBO,Everstone Capital Asia Pte. Ltd,Everstone Capital Asia Pte Ltd - Unspecified Fund,0,0,0,0,100,100
Calibre Chemicals Pvt Ltd,India,Basic Materials,2022-09-02,2,Pending Acquisition,Everstone Capital Asia Pte. Ltd,Everstone Capital Asia Pte Ltd - Unspecified Fund,0,0,0,0,0,0
Caliczbee Solutions Pvt Ltd,India,Healthcare,2024-02-03,1,Expansion,Kerala Angel Network,Kerala Angel Network - Unspecified Fund,0,0,0,0,0,0
Caliper Business Solutions Pvt Ltd,India,Industrials,2018-08-09,1,Acquisition,IL & FS Investment Managers Ltd,"IL&FS Investment Managers, Ltd. - Unspecified Fund",2,0,2,0,0,2
Callify.Ai,India,Industrials,2020-12-15,1,Expansion,Calega Resources Investment LLC,Calega Resources Investment LLC - Unspecified Fund,0,0,1,0,0,1
Callify.Ai,India,Industrials,2020-12-15,1,Expansion,Chennai Angels,"Chennai Angels, The",0,0,1,0,0,1
Callify.Ai,India,Industrials,2020-12-15,1,Expansion,Malpani Venture Pvt Ltd,Malpani Ventures - Unspecified Fund,0,0,1,0,0,1
Callify.Ai,India,Industrials,2020-12-15,1,Expansion,Marwari Angel Network,Marwari Angel Network - Unspecified Fund,0,0,1,0,0,1
Callify.Ai,India,Industrials,2020-12-15,1,Expansion,Venture Catalysts Pvt Ltd,Venture Catalysts Pvt Ltd - Unspecified Fund,0,0,1,0,0,1
Calorie Care Health Kitchen,India,Consumer Non-Cyclicals,2007-12-31,1,LBO,Helix Investments Co,Helix Investments - Unspecified Fund,0,0,0,0,0,0
Calorx Education Company Pvt Ltd,India,Academic & Educational Services,2012-09-05,1,Acquisition,Kaizen Private Equity,Kaizen Private Equity Fund,4,4,4,0,4,4
Camden Town Technologies Pvt Ltd,India,Technology,2019-04-23,6,Expansion,Omidyar Network Commons LLC,Omidyar Network Fund LLC,4,0,20,0,0,20
Camden Town Technologies Pvt Ltd,India,Technology,2019-04-23,6,Expansion,Quona Capital Management Ltd,Accion Quona Inclusion Fund LP,4,0,20,0,0,20
Camden Town Technologies Pvt Ltd,India,Technology,2019-04-23,6,Expansion,Reinventure Group Pty Ltd,Reinventure Fund 3,4,0,20,0,0,20
Camden Town Technologies Pvt Ltd,India,Technology,2019-04-23,6,Expansion,Ribbit Capital LP,Ribbit Capital LP-Unspecified Fund,4,0,20,0,0,20
Camden Town Technologies Pvt Ltd,India,Technology,2019-04-23,6,Expansion,Undisclosed Firm,Undisclosed Fund,4,0,20,0,0,20
Camden Town Technologies Pvt Ltd,India,Technology,2019-05-08,7,Expansion,Quona Capital Management Ltd,Accion Quona Inclusion Fund LP,10,10,20,0,0,20
Camden Town Technologies Pvt Ltd,India,Technology,2019-05-08,7,Expansion,Reinventure Group Pty Ltd,Reinventure Group Pty Ltd - Unspecified Fund,3,3,20,0,0,20
Camden Town Technologies Pvt Ltd,India,Technology,2019-05-08,7,Expansion,Ribbit Capital LP,Ribbit Capital LP-Unspecified Fund,0,0,20,0,0,20
Camden Town Technologies Pvt Ltd,India,Technology,2019-05-08,7,Expansion,Undisclosed Firm,Undisclosed Fund,4,4,20,0,0,20
Camden Town Technologies Pvt Ltd,India,Technology,2019-05-08,7,Expansion,Undisclosed Firm,Undisclosed Fund,3,3,20,0,0,20
Camden Town Technologies Pvt Ltd,India,Technology,2019-12-18,8,Expansion,Flourish Ventures Ltd,Flourish Ventures - Unspecified Fund,1,1,21,0,0,21
Camden Town Technologies Pvt Ltd,India,Technology,2019-12-18,8,Expansion,Quona Capital Management Ltd,Accion Quona Inclusion Fund LP,2,2,21,0,0,21
Camden Town Technologies Pvt Ltd,India,Technology,2019-12-18,8,Expansion,Undisclosed Firm,Undisclosed Fund,1,1,21,0,0,21
Camden Town Technologies Pvt Ltd,India,Technology,2019-12-18,8,Expansion,Undisclosed Firm,Undisclosed Fund,15,15,21,0,0,21
Camden Town Technologies Pvt Ltd,India,Technology,2019-12-18,8,Expansion,Undisclosed Firm,Undisclosed Fund,2,2,21,0,0,21
Camden Town Technologies Pvt Ltd,India,Technology,2019-12-19,9,Expansion,Flourish Ventures Ltd,Flourish Ventures - Unspecified Fund,4,0,14,0,0,14
Camden Town Technologies Pvt Ltd,India,Technology,2019-12-19,9,Expansion,Prosus Ventures NV,Prosus Ventures - Unspecified Fund,4,0,14,0,0,14
Camden Town Technologies Pvt Ltd,India,Technology,2019-12-19,9,Expansion,Quona Capital Management Ltd,Accion Quona Inclusion Fund LP,4,0,14,0,0,14
Camden Town Technologies Pvt Ltd,India,Technology,2019-12-19,9,Expansion,Undisclosed Firm,Undisclosed Fund,4,0,14,0,0,14
Camden Town Technologies Pvt Ltd,India,Technology,2021-09-23,10,Expansion,Undisclosed Firm,Undisclosed Fund,50,50,50,0,0,50
Camden Town Technologies Pvt Ltd,India,Technology,2021-09-24,11,Expansion,Colle Capital,Colle Capital Partners II LP,2,2,59,0,0,59
Camden Town Technologies Pvt Ltd,India,Technology,2021-09-24,11,Expansion,Flourish Ventures Ltd,Flourish Ventures - Unspecified Fund,1,1,59,0,0,59
Camden Town Technologies Pvt Ltd,India,Technology,2021-09-24,11,Expansion,Quona Capital Management Ltd,Accion Quona Inclusion Fund LP,2,2,59,0,0,59
Camden Town Technologies Pvt Ltd,India,Technology,2021-09-24,11,Expansion,Ribbit Capital LP,Ribbit Capital LP-Unspecified Fund,1,1,59,0,0,59
Camden Town Technologies Pvt Ltd,India,Technology,2021-09-24,11,Expansion,Undisclosed Firm,Undisclosed Fund,1,1,59,0,0,59
Camden Town Technologies Pvt Ltd,India,Technology,2021-09-24,11,Expansion,Undisclosed Firm,Undisclosed Fund,50,50,59,0,0,59
Camden Town Technologies Pvt Ltd,India,Technology,2021-09-24,11,Expansion,Undisclosed Firm,Undisclosed Fund,1,1,59,0,0,59
Camden Town Technologies Pvt Ltd,India,Technology,2021-09-24,11,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,59,0,0,59
Camden Town Technologies Pvt Ltd,India,Technology,2021-09-24,11,Expansion,Undisclosed Firm,Undisclosed Fund,1,1,59,0,0,59
Camden Town Technologies Pvt Ltd,India,Technology,2021-12-20,12,Expansion,Undisclosed Firm,Undisclosed Fund,1,1,5,0,0,5
Camden Town Technologies Pvt Ltd,India,Technology,2021-12-20,12,Expansion,Undisclosed Firm,Undisclosed Fund,1,1,5,0,0,5
Camden Town Technologies Pvt Ltd,India,Technology,2021-12-20,12,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,5,0,0,5
Camden Town Technologies Pvt Ltd,India,Technology,2021-12-20,12,Expansion,Undisclosed Firm,Undisclosed Fund,2,2,5,0,0,5
Camden Town Technologies Pvt Ltd,India,Technology,2022-06-10,13,Expansion,Undisclosed Firm,Undisclosed Fund,16,16,16,0,0,16
Camden Town Technologies Pvt Ltd,India,Technology,2022-10-21,14,Expansion,IIFL Finance Ltd,India Infoline Ventures Capital - Unspecified Fund,0,0,0,0,0,0
Camions Logistics Solutions Pvt Ltd,India,Technology,2021-06-28,2,Expansion,Aavishkaar Venture Management Services Pvt Ltd,Aavishkaar Bharat Fund,10,0,20,0,0,20
Camions Logistics Solutions Pvt Ltd,India,Technology,2021-06-28,2,Expansion,Paragon Advisor Partners Llp,Paragon Partners Growth Fund II,10,0,20,0,0,20
Camlin India Pvt Ltd,India,Industrials,2009-12-31,1,PIPE,Avendus PE Investment Advisors Pvt Ltd,Avendus Special Situations Fund I,0,0,0,0,0,0
Camlin India Pvt Ltd,India,Industrials,2011-07-14,2,PIPE,New Vernon Pvt Equity Ltd,New Vernon Private Equity - Unspecified Fund,1,1,1,0,0,1
Campus Activewear Pvt Ltd,India,Consumer Cyclicals,2017-08-31,1,Acquisition,TPG Inc,TPG Growth,0,0,0,0,0,0
Campus Activewear Pvt Ltd,India,Consumer Cyclicals,2017-08-31,1,Acquisition,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Can Fin Homes Ltd,India,Financials,2017-03-11,1,PIPE,GIC Special Investments Pte Ltd,GIC Pvt Ltd - Unspecified Fund,113,113,113,0,0,113
CandyDate Jobs,India,Industrials,2011-12-15,1,Expansion,Deberry Ventures,Deberry Ventures,2,2,2,0,0,2
CandyDate Jobs,India,Industrials,2013-01-25,2,LBO,Undisclosed Firm,Undisclosed Fund,0,0,0,0,190,190
Candytoy Corporate Pvt Ltd,India,Basic Materials,2024-11-26,1,Expansion,Sixth Sense Ventures Advisors LLP,Sixth Sense India Opportunities III,3,0,13,0,0,13
Candytoy Corporate Pvt Ltd,India,Basic Materials,2024-11-26,1,Expansion,Undisclosed Firm,Undisclosed Fund,3,0,13,0,0,13
Candytoy Corporate Pvt Ltd,India,Basic Materials,2024-11-26,1,Expansion,Undisclosed Firm,Undisclosed Fund,3,0,13,0,0,13
Candytoy Corporate Pvt Ltd,India,Basic Materials,2024-11-26,1,Expansion,Undisclosed Firm,Undisclosed Fund,3,0,13,0,0,13
Candytoy Corporate Pvt Ltd,India,Basic Materials,2024-11-26,1,Expansion,Viney Equity Market Llp,Viney Equity Market Llp - Unspecified Fund,3,0,13,0,0,13
Canpac Trends Pvt Ltd,India,Basic Materials,2023-12-14,2,Acquisition,Investcorp Holdings BSC,Investcorp Holdings - Unspecified Fund,0,0,0,0,41,41
Canvera Digital Technologies Pvt Ltd,India,Technology,2012-08-27,4,Expansion,Draper Fisher Jurvetson International Inc,Draper Fisher Jurvetson - Unspecified Fund,2,0,7,0,0,7
Canvera Digital Technologies Pvt Ltd,India,Technology,2012-08-27,4,Expansion,Footprint Ventures Consultancy Pvt Ltd,Footprint Ventures - Unspecified Fund,2,0,7,0,0,7
Canvera Digital Technologies Pvt Ltd,India,Technology,2012-08-27,4,Expansion,Undisclosed Firm,Undisclosed Fund,2,0,7,0,0,7
Capfloat Financial Services Pvt Ltd,India,Financials,2017-08-21,5,Expansion,Creation Investments Capital Management LLC,Creation Investments Capital Management - Unspecified Fund,11,0,45,0,0,45
Capfloat Financial Services Pvt Ltd,India,Financials,2017-08-21,5,Expansion,Elevation Capital,SAIF Partners - Unspecified Fund,11,0,45,0,0,45
Capfloat Financial Services Pvt Ltd,India,Financials,2017-08-21,5,Expansion,Peak Xv Partners,Peak XV Partners - Unspecified Fund,11,0,45,0,0,45
Capfloat Financial Services Pvt Ltd,India,Financials,2017-08-21,5,Expansion,Ribbit Capital LP,Ribbit Capital LP-Unspecified Fund,11,0,45,0,0,45
Capfloat Financial Services Pvt Ltd,India,Financials,2018-04-24,7,Expansion,Undisclosed Firm,Undisclosed Fund,22,22,23,0,0,22
Capfloat Financial Services Pvt Ltd,India,Financials,2018-04-24,7,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,23,0,0,22
Capfloat Financial Services Pvt Ltd,India,Financials,2020-04-13,8,Expansion,Amazon.Com Inc,"Amazon.com, Inc. - Unspecified Fund",3,0,15,0,0,15
Capfloat Financial Services Pvt Ltd,India,Financials,2020-04-13,8,Expansion,Elevation Capital,SAIF Partners - Unspecified Fund,3,0,15,0,0,15
Capfloat Financial Services Pvt Ltd,India,Financials,2020-04-13,8,Expansion,Peak Xv Partners,Peak XV Partners - Unspecified Fund,3,0,15,0,0,15
Capfloat Financial Services Pvt Ltd,India,Financials,2020-04-13,8,Expansion,Ribbit Capital LP,Ribbit Capital LP-Unspecified Fund,3,0,15,0,0,15
