Investee Company Name,Investee Company Nation,Investee Company TRBC Economic Sector,Investment Date,Round Number,Investment Stage,Firm Investor Name,Fund Investor Name,"Investor Equity Total
(USD, Millions)","Disclosed Fund Equity Contribution
(USD, Millions)","Round Equity Total
(USD, Millions)","Disclosed Debt Contribution
(USD, Millions)","Deal Value
(USD, Millions)","Deal Rank Value
(USD, Millions)"
4Basecare Genomics Pvt Ltd,India,Healthcare,2024-12-15,3,Expansion,Infosys Ltd,Infosys Innovation Fund,0,0,0,0,0,0
5c Network Pvt Ltd,India,Healthcare,2020-12-08,1,Expansion,Axilor Ventures Pvt Ltd,Axilor Ventures Pvt Ltd - Unspecified Fund,1,0,1,0,0,1
5c Network Pvt Ltd,India,Healthcare,2020-12-08,1,Expansion,Unitus Ventures Advisors Llp,Unitus Ventures Fund II,1,0,1,0,0,1
5c Network Pvt Ltd,India,Healthcare,2022-07-30,2,Expansion,Undisclosed Firm,Undisclosed Fund,3,0,3,0,0,3
5c Network Pvt Ltd,India,Healthcare,2022-10-12,3,Expansion,Axilor Ventures Pvt Ltd,Axilor Ventures Pvt Ltd - Unspecified Fund,2,0,5,0,0,5
5c Network Pvt Ltd,India,Healthcare,2022-10-12,3,Expansion,Celesta Global Capital Managers LLC,Celesta Global Capital Managers LLC - Unspecified Fund,2,0,5,0,0,5
5c Network Pvt Ltd,India,Healthcare,2022-10-12,3,Expansion,Unitus Ventures Advisors Llp,UV III GP LLC,2,0,5,0,0,5
60 Decibels Inc,India,Consumer Cyclicals,2021-12-23,1,Acquisition,FPE Capital LLP,FPE Fund II,0,0,0,0,0,0
63Ideas Infolabs Pvt Ltd,India,Technology,2019-04-27,4,Expansion,Tiger Global Management LLC,Tiger Global Management LLC - Unspecified Fund,100,100,100,0,0,100
63Ideas Infolabs Pvt Ltd,India,Technology,2019-10-01,6,Bridge Loan,Steadview Capital Management LLC,Steadview Capital Management LLC - Unspecified Fund,0,0,0,0,0,0
63Ideas Infolabs Pvt Ltd,India,Technology,2019-10-01,6,Bridge Loan,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
63Ideas Infolabs Pvt Ltd,India,Technology,2020-01-11,8,Expansion,Undisclosed Firm,Undisclosed Fund,5,0,10,0,0,10
63Ideas Infolabs Pvt Ltd,India,Technology,2020-01-11,8,Expansion,Undisclosed Firm,Undisclosed Fund,5,0,10,0,0,10
63Ideas Infolabs Pvt Ltd,India,Technology,2020-10-13,9,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
63Ideas Infolabs Pvt Ltd,India,Technology,2020-10-13,9,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
63Ideas Infolabs Pvt Ltd,India,Technology,2022-01-04,10,Expansion,Undisclosed Firm,Undisclosed Fund,74,0,147,0,0,147
63Ideas Infolabs Pvt Ltd,India,Technology,2022-01-04,10,Expansion,Undisclosed Firm,Undisclosed Fund,74,0,147,0,0,147
7 Classes,India,Academic & Educational Services,2020-09-28,1,Mezzanine,Venture Catalysts Pvt Ltd,Venture Catalysts Pvt Ltd - Unspecified Fund,0,0,0,0,0,0
99 Algorithms Pvt Ltd,India,Technology,2020-02-18,1,Expansion,Indian Angel Network Services Pvt Ltd,IAN Fund,1,0,3,0,0,3
99 Algorithms Pvt Ltd,India,Technology,2020-02-18,1,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,3,0,0,3
99 Algorithms Pvt Ltd,India,Technology,2020-02-18,1,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,3,0,0,3
99 Algorithms Pvt Ltd,India,Technology,2020-02-18,1,Expansion,Undisclosed Firm,Undisclosed Fund,1,0,3,0,0,3
"9X Media Pvt., Ltd.",India,Consumer Cyclicals,2007-03-15,1,Acquisition,Kotak Alternate Asset Managers Limited,"Kotak Investment Advisors, Ltd. - Unspecified Fund",0,0,0,0,300,300
"9X Media Pvt., Ltd.",India,Consumer Cyclicals,2007-03-15,1,Acquisition,New Silk Route Partners LLC,New Silk Route Partners LLC - Unspecified Fund,0,0,0,0,300,300
"9X Media Pvt., Ltd.",India,Consumer Cyclicals,2007-03-15,1,Acquisition,New Vernon Pvt Equity Ltd,New Vernon Private Equity - Unspecified Fund,0,0,0,0,300,300
"9X Media Pvt., Ltd.",India,Consumer Cyclicals,2007-03-15,1,Acquisition,Temasek Holdings Pvt Ltd,Temasek Capital - Direct Investment Fund,0,0,0,0,300,300
"9X Media Pvt., Ltd.",India,Consumer Cyclicals,2010-06-01,2,Pending Acquisition,New Silk Route Partners LLC,"New Silk Route PE Asia Fund, L.P.",0,0,0,0,20,20
A K Capital Services Ltd,India,Financials,2007-10-14,1,PIPE,RMB Corvest (Pty) Limited,RMB Ventures Fund,0,0,9,0,0,9
A K Capital Services Ltd,India,Financials,2007-10-14,1,PIPE,Undisclosed Firm,Undisclosed Fund,9,0,9,0,0,9
A Little World Pvt  Ltd,India,Financials,2007-03-14,1,Expansion,Legatum Capital,Legatum Capital- Unspecified Fund,2,2,2,0,0,2
A&A Dukaan Financial Services Pvt Ltd,India,Technology,2011-03-18,1,Expansion,Walden International,Walden International - Unspecified Fund,6,6,6,0,0,6
A&A Dukaan Financial Services Pvt Ltd,India,Technology,2014-01-14,2,Expansion,Sequoia Capital Operations LLC,Sequoia Capital - Unspecified Fund,7,0,13,0,0,13
A&A Dukaan Financial Services Pvt Ltd,India,Technology,2014-01-14,2,Expansion,Walden International,Walden International - Unspecified Fund,7,0,13,0,0,13
A&A Dukaan Financial Services Pvt Ltd,India,Technology,2015-07-02,3,Expansion,Eight Roads Services (UK) Ltd,Eight Roads Capital Advisors (Hong Kong) Ltd - UF,12,0,60,0,0,60
A&A Dukaan Financial Services Pvt Ltd,India,Technology,2015-07-02,3,Expansion,Sequoia Capital Operations LLC,Sequoia Capital - Unspecified Fund,12,0,60,0,0,60
A&A Dukaan Financial Services Pvt Ltd,India,Technology,2015-07-02,3,Expansion,Undisclosed Firm,Undisclosed Fund,12,0,60,0,0,60
A&A Dukaan Financial Services Pvt Ltd,India,Technology,2015-07-02,3,Expansion,Undisclosed Firm,Undisclosed Fund,12,0,60,0,0,60
A&A Dukaan Financial Services Pvt Ltd,India,Technology,2015-07-02,3,Expansion,Walden International,Walden International - Unspecified Fund,12,0,60,0,0,60
A2 Media Pvt Ltd,India,Technology,2011-11-17,1,Expansion,Elevation Capital,SAIF Partners - Unspecified Fund,5,5,5,0,0,5
"A2Z Maintenance & Engineering Services Pvt., Ltd.",India,Industrials,2007-09-12,1,Expansion,Baer Capital Partners Ltd,"Beacon India Private Equity Fund, The",19,19,19,0,0,19
"A2Z Maintenance & Engineering Services Pvt., Ltd.",India,Industrials,2009-10-20,2,Expansion,Baer Capital Partners Ltd,"Beacon India Private Equity Fund, The",16,0,33,0,0,33
"A2Z Maintenance & Engineering Services Pvt., Ltd.",India,Industrials,2009-10-20,2,Expansion,IEP Fund Advisors Pvt Ltd,India Equity Partners,16,0,33,0,0,33
A4 Hospitals & Fertility Centre Pvt Ltd,India,Healthcare,2024-10-09,1,Pending Acquisition,360 One Wam Group,360 ONE Healthcare Opportunities Fund,0,0,0,0,0,0
Aadhaar Wholesale Trading and Distribution Ltd,India,Consumer Non-Cyclicals,2014-12-12,1,Acquisition,Future Consumer Ltd,"Future Consumer Enterprises, Ltd. - Unspecified Fund",8,8,8,0,8,8
Aadhar Housing Finance Ltd,India,Financials,2019-06-10,1,LBO,Blackstone Inc,"Blackstone Group, L.P. - Unspecified Fund",115,115,115,0,115,115
Aadhar Housing Finance Ltd,India,Financials,2024-09-30,2,PIPE,Kotak Alternate Asset Managers Limited,Kotak Pre-IPO Opportunities Fund,6,0,6,0,0,6
Aadventure Infotech Pvt Ltd,India,Technology,2020-05-06,1,Expansion,Ah Ventures India Pvt Ltd,AH! Ventures India Pvt Ltd - Unspecified Fund,0,0,0,0,0,0
Aahaa Stores Pvt Ltd,India,Technology,2017-09-01,2,Expansion,YourNest Capital Advisors Pvt Ltd,YourNest Angel Fund,1,0,1,0,0,1
Aahaa Stores Pvt Ltd,India,Technology,2018-06-25,3,Expansion,Calega Resources Investment LLC,Calega Resources Investment LLC - Unspecified Fund,2,0,2,0,0,2
Aakash Educational Services Limited,India,Academic & Educational Services,2019-10-30,1,Acquisition,Blackstone Inc,"Blackstone Group, L.P. - Unspecified Fund",0,0,0,0,0,0
Aakash Educational Services Limited,India,Academic & Educational Services,2020-01-03,2,Acquisition for Expansion,Blackstone Inc,"Blackstone Group, L.P. - Unspecified Fund",0,0,0,0,7,7
Aamdhane Private Ltd,India,Technology,2024-08-01,1,Expansion,Tamilnadu Infrastructure Fund Management Corp Ltd,Tamil Nadu Emerging Sector Seed Fund,0,0,0,0,0,0
Aamdhane Private Ltd,India,Technology,2024-08-01,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Aamdhane Private Ltd,India,Technology,2024-08-01,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Aanswr Fashions Pvt Ltd,India,Consumer Cyclicals,2024-06-19,1,Expansion,Dexter Ventures,Dexter Ventures - Unspecified Fund,0,0,4,0,0,4
Aanswr Fashions Pvt Ltd,India,Consumer Cyclicals,2024-06-19,1,Expansion,Huddle Ventures,Huddle Ventures Fund II,0,0,4,0,0,4
Aanswr Fashions Pvt Ltd,India,Consumer Cyclicals,2024-06-19,1,Expansion,Mga Ventures,MGA Ventures - Unspecified Fund,0,0,4,0,0,4
Aanswr Fashions Pvt Ltd,India,Consumer Cyclicals,2024-06-19,1,Expansion,Sorin Advisors LLP,Sorin Investments,0,0,4,0,0,4
Aanswr Fashions Pvt Ltd,India,Consumer Cyclicals,2024-06-19,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,4,0,0,4
