"Metric","Value"
"Total Exit Records",716
"Total Companies",674
"Mean Exit Value (USD)",131151299039.74
"Median Exit Value (USD)",154084916571
"Max Exit Value (USD)",154088729146
"Total Exit Value (USD)",93773178813414
