"company","total_deals","total_investment","avg_deal_size","first_investment","last_investment"
"Sanghvi Technologies Pvt Ltd",35,291,8.31428571428571,2019,2024
"Serentica Renewables Pvt Ltd",3,289,96.3333333333333,2022,2024
"BANDHAN FINANCIAL SERVICES Ltd",4,288,72,2011,2015
"ICICI Lombard General Insurance Company Ltd",2,282,141,2015,2017
"Imagine Marketing Ltd",9,277,30.7777777777778,2020,2022
"Hero Future Energies Global Ltd",5,276,55.2,2017,2022
"L&T Finance Holdings Ltd",2,274,137,2011,2015
"Diverse Retails Pvt Ltd",42,272,6.47619047619048,2020,2022
"Droom Technology Pvt Ltd",18,272,15.1111111111111,2018,2021
"Home Interior Designs E-Commerce Pvt Ltd",20,270,13.5,2015,2022
"Varun Beverages Ltd",4,263,65.75,2011,2015
"Edelweiss Financial Services Ltd",18,259,14.3888888888889,2011,2020
"National Stock Exchange Of India Ltd",18,259,14.3888888888889,2007,2024
"63Ideas Infolabs Pvt Ltd",11,258,23.4545454545455,2019,2022
"Kogta Financial India Ltd",7,258,36.8571428571429,2022,2024
"Vastu Housing Finance Corporation Ltd",10,255,25.5,2021,2024
"ACKO Technology & Services Pvt Ltd",11,252,22.9090909090909,2022,2024
"Stel Communication Ltd",3,240,80,2009,2009
"Tanglin Developments - Global Village Technology Park",1,239,239,2020,2020
"Capital First Ltd",9,238,26.4444444444444,2012,2016
"Five-Star Business Finance Ltd",15,238,15.8666666666667,2016,2022
"Vistaar Financial Services Pvt Ltd",15,233,15.5333333333333,2012,2024
"Ostro Energy Pvt Ltd",2,230,115,2015,2016
"Primestack Pte. Ltd",15,230,15.3333333333333,2021,2022
"Zinka Logistics Solutions Pvt Ltd",20,230,11.5,2019,2021
"Perfios Software Solutions Pvt Ltd",5,229,45.8,2022,2024
"Max Financial Services Ltd",5,227,45.4,2005,2016
"PVR Ltd",11,227,20.6363636363636,2008,2020
"Credavenue Pvt Ltd",13,226,17.3846153846154,2021,2022
"Waycool Foods & Products Pvt Ltd",29,225,7.75862068965517,2019,2024
"HCL Technologies Ltd",1,220,220,2008,2008
"Profectus Capital Pvt Ltd",1,220,220,2018,2018
"Quippo Infrastructure Equipment, Ltd.",6,218,36.3333333333333,2007,2008
"Girnar Insurance Brokers Pvt Ltd",21,215,10.2380952380952,2023,2023
"Smartpaddle Technology Pvt Ltd",31,214,6.90322580645161,2019,2022
"Merabo Labs Pvt Ltd",9,213,23.6666666666667,2021,2022
"Coffee Day Enterprises Ltd",3,210,70,2010,2010
"RMZ Corp",1,210,210,2021,2021
"Computer Age Management Services Limited",4,208,52,2007,2020
"Open Financial Technologies Pvt Ltd",14,208,14.8571428571429,2021,2022
"Cholamandalam Investment and Finance Company Ltd",11,207,18.8181818181818,2010,2020
"Camden Town Technologies Pvt Ltd",35,206,5.88571428571429,2019,2022
"Gland Pharma Ltd",3,205,68.3333333333333,2008,2014
"Dr. Lal PathLabs Ltd",6,204,34,2005,2021
"Supermarket Grocery Supplies Pvt Ltd",22,204,9.27272727272727,2015,2020
"Global Health Ltd",4,203,50.75,2006,2021
"Rivigo Services Pvt Ltd",14,203,14.5,2018,2022
"CCOT",1,200,200,2008,2008
"Embassy Business Parks (3)",1,200,200,2012,2012
"Embassy TechVillage",2,200,100,2014,2014
"Go Digit General Insurance Ltd",4,200,50,2021,2021
"Honasa Consumer Pvt Ltd",29,200,6.89655172413793,2020,2023
"Infosys Ltd",1,200,200,2008,2008
"Manyata Promoters Pvt., Ltd.",1,200,200,2011,2011
"Turtlemint Insurance Broking Services Pvt Ltd",28,199,7.10714285714286,2019,2022
"Apollo Tyres Limited",5,198,39.6,2019,2021
"Kalyan Jewellers India Ltd",2,198,99,2014,2017
"OXYZO Financial Services Limited",6,198,33,2022,2022
"ASG Hospital Pvt Ltd",5,197,39.4,2013,2023
"Apollo Hospitals Enterprise Ltd",6,196,32.6666666666667,2007,2013
"Cartrade Tech Ltd",12,195,19.5,2014,2016
"Star Health and Allied Insurance Company Ltd",9,194,21.5555555555556,2013,2021
"Tata Technologies Ltd",3,194,64.6666666666667,2023,2023
"Laurus Labs Ltd",2,190,95,2012,2014
"MphasiS Ltd",6,188,31.3333333333333,2009,2021
"Twenty Two Motors Pvt Ltd",24,188,7.83333333333333,2018,2020
"CSB Bank Ltd",1,187,187,2018,2018
"GMR Energy Ltd",2,184,92,2014,2014
"Hathway Cable and Datacom Ltd",7,181,25.8571428571429,2007,2015
"Onesource Specialty Pharma Ltd",15,181,12.0666666666667,2014,2024
"IDFC Ltd",2,180,90,2010,2010
"Mahindra & Mahindra, Ltd.",2,180,90,2008,2019
"Anant Raj Agencies Pvt Ltd",3,175,58.3333333333333,2009,2022
"Hike Ltd",5,175,35,2016,2016
"Rupeek Fintech Pvt Ltd",25,175,7,2019,2022
"Havells India Ltd",9,172,19.1111111111111,2007,2011
"Vini Cosmetics Pvt Ltd",3,172,57.3333333333333,2017,2021
"Appasamy Associates Pvt Ltd",2,170,85,2024,2024
"Pocket FM Pvt Ltd",5,170,34,2022,2024
"Pepperfry Pvt Ltd",11,169,15.3636363636364,2015,2021
"Krishna Institute Of Medical Sciences Ltd",3,166,55.3333333333333,2014,2021
"Lendingkart Technologies Pvt Ltd",15,165,11,2018,2023
"TCNS Clothing Co Ltd",2,165,82.5,2016,2021
"Adani Krishnapatnam Port Ltd",1,161,161,2009,2009
"Stellar Value Chain Solutions Pvt Ltd",6,160,26.6666666666667,2016,2022
"Assetz Global Technology Park (AGTP)",1,158,158,2011,2011
"Piramal Realty",1,157,157,2015,2015
"Archean Chemical Industries Pvt Ltd",2,156,78,2014,2018
"Bunch Microtechnologies Pvt Ltd",30,156,5.2,2019,2022
"Jain Irrigation Systems Ltd",5,156,31.2,2009,2016
"GVK Energy Ltd",2,154,77,2010,2010
"1MG Technologies Pvt Ltd",22,153,6.95454545454545,2019,2022
"DLF Ackruti Info Parks (Pune), Ltd.",1,153,153,2011,2011
"Narayana Hrudayalaya Ltd",4,153,38.25,2008,2022
"Oberoi Constructions Ltd",1,153,153,2007,2007
"Redcliffe Lifetech Pvt Ltd",13,153,11.7692307692308,2022,2024
"Equitas Holdings Ltd",16,152,9.5,2010,2014
"Imperial Auto Industries Ltd",2,151,75.5,2022,2023
"Vasan Health Care Pvt Ltd",5,151,30.2,2011,2014
"Continuum Green Energy India Pvt Ltd",3,150,50,2012,2024
"ECL Finance Ltd",1,150,150,2019,2019
"JBF Industries Ltd",4,150,37.5,2005,2015
"Sona Blw Precision Forgings Ltd",8,150,18.75,2019,2023
"Express Towers",2,146,73,2014,2014
"Acme Formulation Pvt Ltd",1,145,145,2021,2021
"Elan Group Ltd",1,143,143,2024,2024
"Freshtohome Foods Pvt Ltd",16,143,8.9375,2019,2020
"IndInfravit Trust",1,142,142,2021,2021
"Shriram Group",4,142,35.5,2006,2006
"Vivtera Holdings Llc",5,142,28.4,2018,2024
"AU Small Finance Bank Ltd",17,139,8.17647058823529,2009,2020
"Dreamplug Technologies Pvt Ltd",6,139,23.1666666666667,2022,2022
"Healthcare Global Enterprises Ltd",6,139,23.1666666666667,2006,2024
"Provident Housing Ltd",1,138,138,2024,2024
"B9 Beverages Pvt Ltd",10,136,13.6,2019,2022
"Godrej Consumer Products Ltd",2,136,68,2012,2016
"Blusmart Mobility Pvt Ltd",34,135,3.97058823529412,2022,2024
"Max Healthcare Institute Pvt",5,133,26.6,2005,2020
"Finnew Solutions Pvt Ltd",8,132,16.5,2022,2023
"GMR Airports Ltd",7,132,18.8571428571429,2011,2019
"Shubham Housing Development Finance Company Ltd",9,132,14.6666666666667,2014,2022
"PhysicsWallah Pvt Ltd",8,130,16.25,2022,2022
"Weikfield IT Citi Info Park",1,130,130,2019,2019
"Centre for Sight Pvt Ltd",2,129,64.5,2019,2024
"Castex Technologies Ltd",9,128,14.2222222222222,2006,2007
"Healthium Medtech Ltd",16,128,8,2012,2024
"Jumbotail Technologies Pvt Ltd",27,128,4.74074074074074,2019,2023
"Clues Network Pvt Ltd",8,127,15.875,2013,2018
"Phoenix Aquilla",1,127,127,2023,2023
"Interviewbit Technologies Pvt Ltd",10,126,12.6,2019,2022
"Practo Technologies Pvt Ltd",10,126,12.6,2012,2015
"Avantha Power & Infrastructure Ltd",2,125,62.5,2010,2011
"Zoomcar India Pvt Ltd",22,125,5.68181818181818,2014,2023
"Continental Warehousing Corporation Ltd",7,124,17.7142857142857,2005,2015
"Federal Bank Ltd",4,124,31,2010,2021
"Sk Finance Ltd",11,124,11.2727272727273,2020,2024
"Ujjivan Financial Services Ltd",16,124,7.75,2012,2015
"L&T Infrastructure Development Projects Ltd",4,123,30.75,2006,2014
"Ind Barath Power Infra Ltd",1,122,122,2015,2015
"Indiafirst Life Insurance Co Ltd",9,122,13.5555555555556,2019,2023
"Social Worth Technologies Pvt Ltd",6,122,20.3333333333333,2019,2022
"Aadhar Housing Finance Ltd",2,121,60.5,2019,2024
"Logix Cyber Park",1,121,121,2012,2012
"Encube Ethicals Pvt Ltd",3,120,40,2021,2021
"Route Mobile Ltd",8,120,15,2021,2021
"Finova Capital Pvt Ltd",16,119,7.4375,2019,2024
"Smartshift Logistics Solutions Pvt Ltd",7,118,16.8571428571429,2020,2021
"Accelyst Solutions Pvt Ltd",9,117,13,2012,2015
"Fintellix Solutions Pvt Ltd",4,117,29.25,2010,2022
"Provogue (India) Ltd",11,116,10.5454545454545,2007,2008
"Poonawalla Fincorp Ltd",5,115,23,2007,2015
"Fourcee Infrastructure Equipments Pvt Ltd",4,114,28.5,2010,2012
"Can Fin Homes Ltd",1,113,113,2017,2017
"Visa Power Ltd",1,113,113,2011,2011
"Fusion Finance Limited",12,112,9.33333333333333,2013,2018
"Manipal Education",5,112,22.4,2006,2010
"DEN Networks Ltd",5,111,22.2,2009,2013
"Finzoom Investment Advisors Pvt Ltd",12,111,9.25,2019,2022
"Naaptol Online Shopping Pvt Ltd",11,111,10.0909090909091,2011,2015
"Desiderata Impact Ventures Pvt Ltd",19,110,5.78947368421053,2021,2022
"3M India Ltd",1,109,109,2005,2005
"Amagi Media Labs Pvt Ltd",14,109,8.38461538461539,2012,2022
"Dalmia Bharat Enterprises, Ltd.",1,108,108,2010,2010
"Dalmia Cement (Bharat) Ltd",1,108,108,2010,2010
"Gvk Airport Holdings Ltd",3,108,36,2019,2019
"Metropolis Healthcare Ltd",6,108,18,2008,2019
"Adani Ports Special Economic Zone Ltd",1,107,107,2021,2021
"Veritas Finance Pvt Ltd",9,107,11.8888888888889,2020,2021
"Mahindra and Mahindra Financial Services Ltd",3,106,35.3333333333333,2008,2009
"Plutocrat Commercial Real Estate Pvt Ltd",1,106,106,2021,2021
"Bharti Digital Networks Pvt Ltd",16,105,6.5625,2009,2014
"Care Hospitals Pvt Ltd",5,105,21,2012,2022
"Feedback Infra Pvt Ltd",1,105,105,2018,2018
"Dtwelve Spaces Pvt Ltd",20,102,5.1,2019,2024
"Synthimed Labs Pvt Ltd",1,102,102,2023,2023
"Boston Ivy Healthcare Solutions Pvt Ltd",24,101,4.20833333333333,2018,2021
"Sarvagram Fincare Pvt Ltd",9,101,11.2222222222222,2023,2024
"South Indian Bank Ltd",18,101,5.61111111111111,2007,2015
"Yulu Bikes Pvt Ltd",6,101,16.8333333333333,2022,2024
"Bilt Paper B.V.",1,100,100,2014,2014
"Dish TV India Ltd",1,100,100,2009,2009
"Enzen Global Solutions Pvt Ltd",2,100,50,2014,2019
"Euler Motors Pvt Ltd",18,100,5.55555555555556,2022,2024
"Godrej Properties, Ltd.",1,100,100,2012,2012
"Helios Photovoltaic Ltd",10,100,10,2007,2008
"Home First Finance Company India Ltd",4,100,25,2011,2022
"InMobi Technology Services Pvt Ltd",100,100,1,2011,2024
"SRL Ltd",4,100,25,2011,2012
"Sporta Technologies Pvt Ltd",3,99,33,2018,2018
"Embassy Office Ventures Pvt Ltd",1,98,98,2019,2019
"Fortis Healthcare Ltd",6,98,16.3333333333333,2007,2013
"IDFC First Bank Ltd",2,98,49,2020,2020
"Redington (India) Ltd",2,98,49,2006,2011
"Tata Realty & Infrastructure - Mall Properties (2)",2,98,49,2019,2019
"Ather Energy Ltd",7,97,13.8571428571429,2019,2022
"Marico Ltd",2,97,48.5,2012,2012
"Service Lee Technologies Pvt Ltd",21,97,4.61904761904762,2020,2023
"Toppr Technologies Pvt Ltd",19,97,5.10526315789474,2015,2020
"Haqdarshak Empowerment Solutions Pvt Ltd",11,96,8.72727272727273,2020,2023
"Leap India Pvt Ltd",19,96,5.05263157894737,2018,2024
"Homevista Decor & Furnishings Pvt Ltd",24,95,3.95833333333333,2018,2022
"Supertech Cape Town Project",1,95,95,2012,2012
"Karaikal Port Pvt Ltd",3,94,31.3333333333333,2011,2012
"Ufo Moviez Ltd",3,94,31.3333333333333,2007,2021
"Spicejet Limited",11,93,8.45454545454546,2005,2023
"Algonomy Software Pvt Ltd",13,92,7.07692307692308,2007,2021
"Epimoney Pvt Ltd",6,92,15.3333333333333,2022,2022
"Island Star Mall Developers Pvt Ltd",10,92,9.2,2017,2021
"Darwinbox Digital Solutions Pvt Ltd",10,91,9.1,2021,2022
"Auxilo Finserve Pvt Ltd",7,90,12.8571428571429,2023,2024
"Komli Media Pvt  Ltd",21,90,4.28571428571429,2010,2013
"Lemon Tree Hotels Ltd",9,90,10,2006,2008
"Ozone Urbana",1,90,90,2015,2015
"PCR Investments Ltd",2,90,45,2013,2013
"Himadri Speciality Chemical Ltd",3,88,29.3333333333333,2008,2011
"MedGenome Labs Ltd.",11,88,8,2017,2023
"Myntra Designs Pvt Ltd",13,88,6.76923076923077,2011,2014
"Shriram Retail Hldg Pvt Ltd",1,88,88,2008,2008
"Betterplace Safety Solutions Pvt Ltd",14,87,6.21428571428571,2020,2022
"Rategain Travel Technologies Ltd",22,87,3.95454545454545,2015,2023
"Indiabulls Housing Finance Ltd",1,86,86,2020,2020
"Maxop Engineering Company Pvt Ltd",2,86,43,2021,2022
"SE Forge Ltd",1,86,86,2008,2008
"Sadbhav Infrastructure Projects Ltd",3,86,28.6666666666667,2010,2021
"Shyam",1,85,85,2008,2008
"Skyroot Aerospace Pvt Ltd",7,85,12.1428571428571,2022,2023
"Zolostays Property Solutions Pvt Ltd",13,85,6.53846153846154,2017,2020
"Educomp Solutions Ltd",3,84,28,2012,2012
"JSW Ispat Special Products Ltd",3,84,28,2010,2011
"Nasadiya Technologies Pvt Ltd",22,84,3.81818181818182,2018,2021
"Nspira Management Services Private Ltd",4,84,21,2018,2018
"Eon Free Zone",1,83,83,2013,2013
"Greenizon Agritech Consultancy Pvt Ltd",24,83,3.45833333333333,2021,2022
"Mebigo Labs Pvt Ltd",28,83,2.96428571428571,2022,2023
"Smallcase Technologies Pvt Ltd",26,83,3.19230769230769,2019,2022
"Sterlite Power Grid Ventures Ltd",2,83,41.5,2014,2019
"Avanti Finance Pvt Ltd",17,82,4.82352941176471,2021,2024
"Capfloat Financial Services Pvt Ltd",18,82,4.55555555555556,2017,2020
"ECSO Global Pvt Ltd",9,82,9.11111111111111,2021,2022
"Intelenet Global Services Pvt Ltd",5,82,16.4,2007,2015
"One Mobikwik Systems Ltd",13,82,6.30769230769231,2015,2022
"Trident Hotels",1,82,82,2020,2020
"Bycyshare Technologies Pvt Ltd",24,81,3.375,2021,2024
"Urban Ladder Home Decor Solutions Pvt Ltd",17,81,4.76470588235294,2015,2019
"Welspun Corp Ltd",4,81,20.25,2007,2013
"A&A Dukaan Financial Services Pvt Ltd",8,80,10,2011,2015
"Aye Finance Pvt Ltd",32,80,2.5,2017,2022
"Diamond Power Infrastructure Ltd",4,80,20,2008,2010
"Nuziveedu Seeds Ltd",1,80,80,2008,2008
"Onemi Technology Solutions Pvt Ltd",6,80,13.3333333333333,2022,2022
"Samunnati Financial Intermediation & Services Pvt Ltd",12,80,6.66666666666667,2018,2024
"Vivriti Capital Pvt Ltd",6,80,13.3333333333333,2022,2022
"Muthoot Microfin Ltd",3,79,26.3333333333333,2017,2022
"Care Health Insurance Ltd",5,78,15.6,2017,2020
"Girnarsoft Education Services Pvt Ltd",16,78,4.875,2019,2022
"Whizdm Innovations Pvt Ltd",7,77,11,2022,2022
"Samast Technologies Pvt Ltd",12,76,6.33333333333333,2020,2021
"Samhi Hotels Ltd",4,76,19,2011,2016
"Shriram EPC, Ltd.",6,76,12.6666666666667,2006,2022
"Interglobe Enterprises Pvt Ltd",1,75,75,2020,2020
"Unique Affordable Homes Pvt Ltd",1,75,75,2008,2008
"Ummeed Housing Finance Pvt Ltd",10,74,7.4,2020,2024
"Brainbees Solutions Pvt Ltd",14,73,5.21428571428571,2011,2015
"D2c Insurance Broking Pvt Ltd",7,73,10.4285714285714,2019,2021
"Magma HDI General Insurance Company Ltd",4,73,18.25,2021,2021
"Staragri Warehousing and Collateral Management Ltd",2,73,36.5,2012,2014
"Cashgrail Pvt Ltd",6,72,12,2022,2022
"Leverage Edtech Pvt Ltd",18,72,4,2021,2023
"Niva Bupa Health Insurance Co Ltd",5,72,14.4,2019,2023
"Seven Islands Shipping Ltd",1,72,72,2019,2019
"Sify Infinit Spaces Ltd",1,72,72,2023,2023
"Endurance Technologies Ltd",2,71,35.5,2011,2019
"Karur Vysya Bank Ltd",2,71,35.5,2012,2012
"Indusind Bank Ltd",3,70,23.3333333333333,2011,2011
"Meru Cab Co Pvt Ltd",2,70,35,2015,2016
"Mwyn Tech Pvt Ltd",5,70,14,2020,2020
"Sterne India Pvt Ltd",6,70,11.6666666666667,2022,2024
"Bluesemi",1,69,69,2021,2021
"Indian Energy Exchange Ltd",8,69,8.625,2015,2016
"Jai Balaji Industries Ltd",3,69,23,2008,2008
"Northern Arc Capital Ltd",6,69,11.5,2014,2024
"ONGC Tripura Power Company Ltd",1,69,69,2015,2015
"Apollo Health and Lifestyle Ltd",2,68,34,2016,2016
"Home Solutions Retail Ltd",5,68,13.6,2006,2009
"Indiejewel Fashions Pvt Ltd",10,68,6.8,2023,2024
"Insps Ispat & Power Ltd",1,68,68,2011,2011
"Mantri Developers Pvt Ltd",1,68,68,2006,2006
"Nobel Hygiene Pvt Ltd",2,68,34,2021,2021
"Sunstone Education Technology Pvt Ltd",14,68,4.85714285714286,2019,2022
"International Tractors Ltd",4,67,16.75,2006,2012
"Wework India Management Private Ltd",1,67,67,2022,2022
"Everest Fleet Pvt Ltd",9,66,7.33333333333333,2023,2024
"MARA Labs Inc",11,66,6,2019,2021
"Mswipe Technologies Pvt Ltd",13,66,5.07692307692308,2015,2018
"Nilgiri Dairy Farm Pvt Ltd, The",2,66,33,2006,2006
"Nuvoco Vistas Corporation Ltd",2,66,33,2013,2020
"Nykaa E-Retail Pvt Ltd",13,66,5.07692307692308,2016,2022
"PI Industries Ltd",6,66,11,2009,2015
"Servion Global Solutions Ltd",4,66,16.5,2010,2023
"Tictok Skill Games Pvt Ltd",2,66,33,2021,2021
"Dodla Dairy Ltd",2,65,32.5,2017,2021
"Gateway Rail Freight Ltd",1,65,65,2009,2009
"Log 9 Materials Scientific Pvt Ltd",16,65,4.0625,2019,2023
"S H Kelkar And Company Ltd",2,65,32.5,2010,2012
"Vrihis Properties Pvt Ltd",1,65,65,2020,2020
"Defmacro Software Pvt Ltd",7,64,9.14285714285714,2016,2018
"Everest Kanto Cylinder Ltd",5,64,12.8,2006,2008
"HOV Services Ltd",2,64,32,2007,2007
"Manappuram Finance Ltd",22,64,2.90909090909091,2008,2017
