"company","total_deals","total_investment","avg_deal_size","first_investment","last_investment"
"Aptus Value Housing Finance India Ltd",3,57,19,2014,2016
"Embassy Industrial Parks Pvt Ltd",6,57,9.5,2016,2021
"Malladi Drugs & Pharmaceuticals Ltd",3,57,19,2005,2022
"Cashfree Payments India Pvt Ltd",8,56,7,2019,2021
"Devyani International Ltd",2,56,28,2008,2011
"G S E-Commerce Pvt Ltd",15,56,3.73333333333333,2017,2023
"GMR Infrastructure Ltd",9,56,6.22222222222222,2006,2007
"Head Infotech India Pvt Ltd",5,56,11.2,2010,2017
"India Hospitality Corp",3,56,18.6666666666667,2007,2007
"Tata Play Ltd",2,56,28,2007,2013
"United Breweries Ltd",1,56,56,2011,2011
"Vaibhav Global Ltd",3,56,18.6666666666667,2006,2007
"Vestas Rrb India Ltd",1,56,56,2007,2007
"Ampa Orthodontics Pvt Ltd",15,55,3.66666666666667,2022,2024
"Birlasoft Ltd",3,55,18.3333333333333,2011,2012
"Kribha Handicrafts Pvt Ltd",9,55,6.11111111111111,2015,2015
"Nectar Lifesciences Ltd",3,55,18.3333333333333,2008,2010
"Park Hotels  The",1,55,55,2007,2007
"Security and Intelligence Services (India) Ltd",1,55,55,2013,2013
"TutorVista.com",13,55,4.23076923076923,2006,2009
"Advanced Enzyme Technologies Ltd",3,54,18,2019,2022
"Allcargo Logistics Ltd- Warehousing Business",1,54,54,2020,2020
"Greencell Mobility Pvt Ltd",3,54,18,2022,2022
"Hindustan Construction Co., Ltd.",1,54,54,2011,2011
"Laqshya Media Pvt Ltd",2,54,27,2006,2008
"Nazara Technologies Limited",4,54,13.5,2005,2022
"Nova Medical Centers Pvt Ltd",3,54,18,2012,2012
"SJS Enterprises Ltd",1,54,54,2015,2015
"Tecso Charge Zone Pvt Ltd",6,54,9,2021,2024
"Varthana Finance Pvt Ltd",9,54,6,2018,2024
"Vedantu Innovations Pvt Ltd",15,54,3.6,2018,2022
"Agnikul Cosmos Pvt Ltd",21,53,2.52380952380952,2021,2023
"August Jewellery Pvt Ltd",13,53,4.07692307692308,2020,2022
"GOL Offshore Ltd",2,53,26.5,2007,2007
"Soul Vision Creations Pvt Ltd",3,53,17.6666666666667,2020,2021
"TVS Supply Chain Solutions Ltd",10,53,5.3,2008,2021
"Wakefit Innovations Limited",5,53,10.6,2020,2021
"Ampin Energy Transition",3,52,17.3333333333333,2023,2023
"Asian Institute of Gastroenterology Pvt Ltd",2,52,26,2015,2019
"Craftsman Automation Ltd",2,52,26,2010,2012
"Even Healthcare Pvt Ltd",14,52,3.71428571428571,2024,2024
"HERO Electric Vehicles Pvt Ltd",3,52,17.3333333333333,2018,2021
"Neo Sports Broadcast Pvt Ltd",2,52,26,2009,2009
"Prabhat Dairy Ltd",4,52,13,2012,2015
"Quikr Mauritius Holding Pvt Ltd",23,52,2.26086956521739,2009,2018
"Tata Projects Ltd",1,52,52,2015,2015
"A2Z Maintenance & Engineering Services Pvt., Ltd.",3,51,17,2007,2009
"Dvara Holdings",4,51,12.75,2015,2016
"Amr India Ltd",3,50,16.6666666666667,2010,2011
"Analog Legalhub Technology Solutions Pvt Ltd",5,50,10,2023,2023
"Apollo Health Street Ltd",5,50,10,2007,2007
"Bhilwara Energy Ltd",3,50,16.6666666666667,2010,2010
"Credable.In",5,50,10,2021,2024
"Emcure Pharmaceuticals Ltd",3,50,16.6666666666667,2006,2015
"National Commodities Management Services Ltd",10,50,5,2010,2019
"Nirvaanic Life Foods Private Limited",1,50,50,2022,2022
"RN Chidakashi Technologies Pvt Ltd",26,50,1.92307692307692,2019,2021
"Sevenhills Healthcare Pvt Ltd",2,50,25,2010,2013
"Star Fertility Pvt Ltd",1,50,50,2023,2023
"Tirupati Medicare Ltd",1,50,50,2019,2019
"Biba Apparels Pvt Ltd",9,49,5.44444444444444,2007,2020
"Body Cupid Pvt Ltd",2,49,24.5,2021,2022
"Cardamom Logistics Assets India Pvt Ltd",1,49,49,2019,2019
"Cue Learn Pvt Ltd",9,49,5.44444444444444,2019,2020
"Utkarsh Small Finance Bank Ltd",8,49,6.125,2014,2021
"Allen Career Institute Pvt Ltd",14,48,3.42857142857143,2020,2023
"Biorad Medisys Pvt Ltd",1,48,48,2024,2024
"Chalo Mobility Pvt Ltd",9,48,5.33333333333333,2021,2021
"CommonFloor.com Inc",7,48,6.85714285714286,2012,2014
"Iyogi Inc",12,48,4,2009,2014
"Nuvo Logistics Pvt Ltd",9,48,5.33333333333333,2015,2015
"Sfinancial Information Network and Operations Ltd",6,48,8,2009,2012
"Symbiotec Pharmalab Pvt Ltd",3,48,16,2013,2018
"AVTEC Ltd",2,47,23.5,2005,2013
"Detect Technologies Pvt Ltd",17,47,2.76470588235294,2018,2022
"Lohum Cleantech Pvt Ltd",18,47,2.61111111111111,2021,2024
"Applied Solar Technologies (India) Pvt Ltd",7,46,6.57142857142857,2009,2015
"Enterprise Level Investment, Mumbai",2,46,23,2008,2008
"Indifi Technologies Pvt Ltd",18,46,2.55555555555556,2019,2021
"K12 Techno Services Pvt Ltd",5,46,9.2,2010,2011
"Nimbus Communications Ltd",6,46,7.66666666666667,2005,2007
"Pune Special Economic Zone",1,46,46,2013,2013
"Safari Industries (India) Ltd",3,46,15.3333333333333,2014,2024
"Dabur India Ltd",1,45,45,2013,2013
"Farmart Service Pvt Ltd",16,45,2.8125,2021,2024
"INOX India Ltd",1,45,45,2012,2012
"Ind-Barath Energy (Utkal) Ltd",1,45,45,2011,2011
"MakeMyTrip (India) Pvt Ltd",10,45,4.5,2005,2007
"Newgen Software Technologies Ltd",5,45,9,2021,2021
"Novocura Tech Health Services Pvt Ltd",10,45,4.5,2019,2021
"Rapidue Technologies Pvt Ltd",6,45,7.5,2022,2024
"Sagar Cements Ltd",1,45,45,2022,2022
"Ansal Properties & Infrastructure, Ltd. - Township Project",1,44,44,2011,2011
"Bluestone Jewellery & Lifestyle Ltd",8,44,5.5,2015,2016
"Fabindia Ltd",4,44,11,2012,2019
"Genesis Colors Ltd",5,44,8.8,2006,2009
"Knowlarity Communications Pvt Ltd",8,44,5.5,2012,2016
"Muthoot Finance, Ltd.",14,44,3.14285714285714,2010,2011
"Omkar Realtors & Developers - Residential Project",1,44,44,2011,2011
"Visage Lines Personal Care Pvt Ltd",11,44,4,2019,2022
"Annapurna Finance Pvt Ltd",12,43,3.58333333333333,2014,2024
"Crofarm Agriproducts Pvt Ltd",17,43,2.52941176470588,2020,2022
"IndiatimesCom",3,43,14.3333333333333,2005,2005
"Bizcrum Infotech Pvt Ltd",11,42,3.81818181818182,2018,2021
"Caratlane Trading Pvt Ltd",3,42,14,2011,2015
"Targetone Innovations Pvt Ltd",6,42,7,2020,2021
"Aviom India Housing Finance Pvt Ltd",5,41,8.2,2020,2024
"Centurion Bank of Punjab",4,41,10.25,2006,2007
"Signzy Technologies Pvt Ltd",12,41,3.41666666666667,2020,2022
"AGS Transact Technologies Ltd",3,40,13.3333333333333,2011,2021
"Ami Lifesciences Pvt Ltd",2,40,20,2020,2020
"Artemis Medicare Services Ltd",1,40,40,2024,2024
"Avaada Energy Pvt Ltd",4,40,10,2020,2020
"EZEtap Mobile Solutions Pvt Ltd",8,40,5,2015,2017
"Futura Office Park",1,40,40,2012,2012
"Ganesh Housing Corp Ltd",1,40,40,2015,2015
"Gemswipe India Pvt Ltd",9,40,4.44444444444444,2016,2018
"Golden Gate Properties, Ltd.",1,40,40,2012,2012
"Intelligent Retail Pvt Ltd",5,40,8,2023,2023
"Le-Grandiose",2,40,20,2014,2015
"Loadshare Networks Pvt Ltd",5,40,8,2022,2022
"Loginext Solutions Private Ltd",2,40,20,2020,2020
"Mensa Brand Technologies Pvt Ltd",31,40,1.29032258064516,2021,2023
"One Sigma Technologies Pvt Ltd",4,40,10,2021,2021
"Sfo Technologies",4,40,10,2007,2011
"Sky Gate Hospitality Pvt Ltd",5,40,8,2019,2024
"Tega Industries Ltd",1,40,40,2011,2011
"Vatika Group",4,40,10,2008,2014
"Famy Care Pvt Ltd",1,39,39,2010,2010
"Happilo International Pvt Ltd",2,39,19.5,2021,2022
"Indiabulls Infraestate, Ltd.",3,39,13,2012,2012
"Nupa Technologies Pvt Ltd",21,39,1.85714285714286,2020,2024
"Robotic Wares Pvt Ltd",7,39,5.57142857142857,2018,2020
"Social Hardware International Pvt Ltd",3,39,13,2024,2024
"BEBB India Pvt Ltd",7,38,5.42857142857143,2016,2018
"Cipla Health Ltd",3,38,12.6666666666667,2016,2018
"Commercial & Residential Project, Mumbai",1,38,38,2008,2008
"Coverfox Insurance Broking Pvt Ltd",10,38,3.8,2015,2018
"Cyient Ltd",6,38,6.33333333333333,2007,2017
"More Retail Pvt Ltd",6,38,6.33333333333333,2019,2024
"Rooter Sports Technologies Pvt Ltd",29,38,1.31034482758621,2020,2023
"Rsb Group",2,38,19,2007,2007
"S Chand and Company Ltd",2,38,19,2012,2016
"StanPlus Technologies Pvt Ltd",11,38,3.45454545454545,2022,2024
"Vivimed Labs Ltd",4,38,9.5,2011,2011
"Asian Energy Services Ltd",4,37,9.25,2008,2013
"Culinary Brands Pte Ltd",1,37,37,2023,2023
"Green Infra Ltd",1,37,37,2009,2009
"Health Arx Technologies Pvt Ltd",23,37,1.60869565217391,2019,2022
"Ocean Sparkle Limited",2,37,18.5,2007,2012
"Schoolnet India Ltd",1,37,37,2010,2010
"Trivitron Medical Systems Pte Ltd",7,37,5.28571428571429,2007,2022
"Awfis Space Solutions Pvt Ltd",5,36,7.2,2019,2020
"Bluebear Technology Pvt Ltd",3,36,12,2022,2022
"CreditAccess Grameen Ltd",9,36,4,2013,2024
"Crystal Crop Protection",2,36,18,2022,2022
"Curefoods India Pvt Ltd",12,36,3,2022,2024
"Digikredit Finance Pvt. Ltd",7,36,5.14285714285714,2019,2020
"Easy Home Finance Ltd",8,36,4.5,2024,2024
"Equinox Business Park",1,36,36,2018,2018
"Express Trade Tower",1,36,36,2012,2012
"Gfm Retail Pvt Ltd",5,36,7.2,2021,2021
"Inshorts Medialabs Pvt Ltd",3,36,12,2020,2020
"KMC Constructions Ltd",2,36,18,2007,2007
"Prestige Estates Residential Projects",1,36,36,2012,2012
"Saisudhir Infrastructure  Ltd",5,36,7.2,2008,2011
"Sunteck Realty Ltd",1,36,36,2007,2007
"Television Home Shopping Network Ltd",6,36,6,2011,2013
"Vahdam Teas Pvt Ltd",12,36,3,2019,2021
"Varun Shipping Company Ltd",4,36,9,2006,2006
"Vridhi Finserv Home Finance Ltd",3,36,12,2023,2024
"actoserba active wholesale Pvt Ltd",5,36,7.2,2015,2018
"ABG Shipyard Ltd",4,35,8.75,2005,2012
"APAC Financial Services Pvt Ltd",1,35,35,2018,2018
"Amsri Global Village",2,35,17.5,2007,2007
"Edelweiss Financial Advisors Ltd",1,35,35,2010,2010
"Gujarat Pipavav Port Ltd",2,35,17.5,2005,2012
"Infinity Fincorp Solutions Pvt Ltd",3,35,11.6666666666667,2024,2024
"Prime Focus Technologies Ltd",1,35,35,2012,2012
"VVDN Technologies Pvt Ltd",4,35,8.75,2019,2023
"Beejapuri Dairy Pvt Ltd",7,34,4.85714285714286,2019,2024
"Entropik Technologies Pvt Ltd",8,34,4.25,2020,2023
"IVRCL, Ltd.",1,34,34,2010,2010
"Shriji Polymers (India) Ltd",1,34,34,2020,2020
"The Wooden Street Furnitures Pvt Ltd",5,34,6.8,2020,2022
"Ultraviolette Automotive Pvt Ltd",2,34,17,2022,2022
"VRL Logistics Ltd",1,34,34,2012,2012
"Bscpl Infrastructure Ltd",7,33,4.71428571428571,2006,2007
"DB Corp, Ltd.",1,33,33,2006,2006
"Eduvanz Financing Pvt Ltd",15,33,2.2,2019,2022
"Firepro Systems Pvt., Ltd.",1,33,33,2009,2009
"Genesys International Corp Ltd",3,33,11,2022,2022
"Ghaziabad &Indirapuram Residential Project",2,33,16.5,2008,2013
"Indu Projects Ltd",2,33,16.5,2007,2008
"Kaleidofin Pvt Ltd",14,33,2.35714285714286,2022,2024
"Maharana Infrastructure and Professional Services Pvt Ltd",4,33,8.25,2011,2014
"Mahindra Logistics Ltd",3,33,11,2014,2022
"Molbio Diagnostics Limited",1,33,33,2020,2020
"Newgen Imaging Systems",4,33,8.25,2011,2014
"Orris Infrastructure Pvt., Ltd.",2,33,16.5,2012,2013
"Rubicon Research Ltd",4,33,8.25,2016,2021
"Apar Industries, Ltd.",3,32,10.6666666666667,2005,2011
"Astaire Gardens",1,32,32,2011,2011
"Celebal Technologies Private Ltd",1,32,32,2022,2022
"Commercial Project, Kurla, Mumbai",2,32,16,2006,2006
"Gajju Technologies Pvt Ltd",9,32,3.55555555555556,2022,2024
"Monte Carlo Fashions Ltd",1,32,32,2012,2012
"Sapphire Foods India Ltd",13,32,2.46153846153846,2015,2021
"Sharekhan Ltd",7,32,4.57142857142857,2006,2014
"Simply Vyapar Apps Pvt Ltd",4,32,8,2022,2022
"Spandana Sphoorty Financial, Ltd.",4,32,8,2007,2017
"Sunshine Teahouse Pvt Ltd",8,32,4,2018,2020
"Urbanrise Llp",1,32,32,2022,2022
"Utkarsh Coreinvest Ltd",11,32,2.90909090909091,2011,2016
"Auro Mira Energy Co Pvt Ltd",5,31,6.2,2006,2010
"Bioplus Life Sciences Pvt Ltd",1,31,31,2008,2008
"Cytecare Hospitals Pvt Ltd",1,31,31,2018,2018
"Healthifyme Wellness Pte Ltd",15,31,2.06666666666667,2016,2018
"Indiaideas Com Ltd",6,31,5.16666666666667,2006,2016
"Repco Home Finance, Ltd.",3,31,10.3333333333333,2008,2013
"Signatureglobal (India) Pvt Ltd",3,31,10.3333333333333,2017,2022
"Sintex Industries Ltd",6,31,5.16666666666667,2005,2018
"Sunteck Realty, Ltd. - 16 acres of land in Goregaon, Mumbai.",1,31,31,2012,2012
"Ushdev International Ltd",1,31,31,2012,2012
"Wheelsemi Pvt Ltd",4,31,7.75,2022,2023
"3C Residential Project",1,30,30,2012,2012
"Big Bang Boom Solutions Pvt Ltd",5,30,6,2024,2024
"EpowerX Learning Technologies Pvt Ltd",1,30,30,2022,2022
"Future Logistics Pvt Ltd",1,30,30,2009,2009
"Gujarat State Petronet Ltd",1,30,30,2007,2007
"Harish Chandra (India) Ltd",1,30,30,2008,2008
"Innovent Spaces Pvt Ltd",3,30,10,2022,2022
"Inventys Research Co Pvt Ltd",2,30,15,2022,2022
"Jarsh Innovations Pvt Ltd",3,30,10,2023,2023
"Kolte-Patil Developers Ltd",2,30,15,2007,2017
"Kudos Chemie Ltd",1,30,30,2010,2010
"Llama Logisol Pvt Ltd",6,30,5,2020,2022
"Matrix Cellular (International) Services Pvt Ltd",1,30,30,2011,2011
"Nahar Industrial Enterprises Ltd",1,30,30,2008,2008
"Pep Technologies Pvt Ltd",5,30,6,2022,2022
"Regen Powertech Private Limited",5,30,6,2007,2012
"Revfin Services Pvt Ltd",10,30,3,2022,2023
"Saurashtra Freight Pvt Ltd",1,30,30,2017,2017
"Square Yards Consulting Pvt Ltd",5,30,6,2017,2019
"Super Highway Labs Pvt Ltd",11,30,2.72727272727273,2019,2019
"Unicon Financial Intermediaries Pvt Ltd",2,30,15,2008,2008
"Urbanpiper Technology Pvt Ltd",11,30,2.72727272727273,2019,2023
"Varsity Education Management Pvt Ltd",1,30,30,2011,2011
"Bigshoebazaar India Pvt Ltd",6,29,4.83333333333333,2011,2012
"Bloom Hotel Group",2,29,14.5,2018,2018
"Fullife Healthcare Pvt Ltd",5,29,5.8,2020,2022
"Heavenly Secrets Pvt Ltd",5,29,5.8,2023,2024
"ICOMM Tele",3,29,9.66666666666667,2005,2008
"OneAssist Consumer Solutions Pvt Ltd",7,29,4.14285714285714,2015,2017
"Ozonegroup Retail & Hotel Project",2,29,14.5,2012,2014
"Phasorz Technologies Pvt Ltd",11,29,2.63636363636364,2020,2021
"Religare Finvest Ltd",1,29,29,2011,2011
"Surya Children's Medicare Pvt Ltd",1,29,29,2018,2018
"Immuneel Therapeutics Pvt Ltd",5,28,5.6,2022,2024
"Itilite Technologies Pvt Ltd",4,28,7,2022,2022
"Lentra AI Pvt Ltd",10,28,2.8,2023,2023
"Motilal Oswal Financial Services, Ltd.",2,28,14,2006,2006
"NDTV Networks Ltd",5,28,5.6,2005,2007
"Onsurity Technologies Pvt Ltd",4,28,7,2024,2024
"PVR Pictures Ltd",2,28,14,2008,2008
"RKSV Securities India Pvt Ltd",4,28,7,2016,2019
"Spanco Ltd",5,28,5.6,2005,2007
"Ubifly Technologies Pvt Ltd",19,28,1.47368421052632,2022,2024
"V V F Ltd",1,28,28,2011,2011
"AppsDaily Solutions Pvt Ltd",10,27,2.7,2010,2015
"Asian Footwear Pvt Ltd",1,27,27,2022,2022
"Borosil Renewables Ltd",1,27,27,2020,2020
"Centrum Housing Finance Ltd",1,27,27,2020,2020
"Century Real Estate Holdings Pvt Ltd",3,27,9,2011,2021
"Cotton County Resorts and Estates Pvt Ltd",1,27,27,2008,2008
"Genworks Health Pvt Ltd",6,27,4.5,2019,2022
"Haldia Coke And Chemicals Private Ltd",1,27,27,2010,2010
"Happy Forgings Ltd",1,27,27,2018,2018
"Hindusthan National Glass And Industries Ltd",1,27,27,2010,2010
"Infrasoft Technologies",2,27,13.5,2007,2011
"Invoq Healthcare India Pvt Ltd",7,27,3.85714285714286,2022,2022
"Mitra Biotech Pvt Ltd",3,27,9,2016,2016
"Perfint Healthcare Pvt Ltd",7,27,3.85714285714286,2009,2012
"Premier Energies Ltd",1,27,27,2021,2021
"Sahara One Media and Entertainment Ltd",1,27,27,2006,2006
"Shankara Building Products Ltd",1,27,27,2011,2011
"Shriram Residential Property (2)",2,27,13.5,2014,2014
"Snapmint Credit Advisory Pvt Ltd",11,27,2.45454545454545,2022,2022
"Tinyowl Technology Pvt Ltd",7,27,3.85714285714286,2014,2015
"Tree House Education and Accessories Ltd",6,27,4.5,2008,2012
"Welspun Global Brands, Ltd.",1,27,27,2005,2005
"Xyxx Apparels Pvt Ltd",12,27,2.25,2021,2023
"Claris Lifesciences Ltd",3,26,8.66666666666667,2006,2012
"Comat Technologies Pvt Ltd",5,26,5.2,2007,2008
"DCB Bank Ltd",10,26,2.6,2007,2012
"DaVita Nephrolife India Private Ltd",2,26,13,2012,2012
"Fincare Business Services Ltd",2,26,13,2021,2021
"Fincare Small Finance Bank Ltd",3,26,8.66666666666667,2021,2021
"Kids Clinic India Pvt Ltd",7,26,3.71428571428571,2011,2021
"Kvk Energy & Infrastructure Pte  Ltd",1,26,26,2007,2007
"Milk Mantra Dairy Pvt Ltd",7,26,3.71428571428571,2013,2017
"Minions Ventures Pvt Ltd",2,26,13,2019,2019
"NCC Ltd",4,26,6.5,2007,2012
"Newspace Research & Technologies Pvt Ltd",6,26,4.33333333333333,2022,2022
"OnMobile Global Ltd",2,26,13,2008,2009
"Plasmagen Biosciences Pvt Ltd",2,26,13,2017,2017
"Robemall Apparels Pvt Ltd",6,26,4.33333333333333,2011,2013
"Sansera Engineering Limited",6,26,4.33333333333333,2013,2021
"Save Solutions Pvt Ltd",3,26,8.66666666666667,2020,2021
"Shalivahana Green Energy Ltd",2,26,13,2009,2011
"Television Eighteen India Ltd",1,26,26,2009,2009
"Wellbeing Healthtech Pvt Ltd",25,26,1.04,2020,2023
"Wrogn Ltd",4,26,6.5,2015,2018
"Zippin Pharma Pvt Ltd",5,26,5.2,2020,2024
"Amtek Auto Ltd",3,25,8.33333333333333,2006,2010
"Anarock Property Consultants Pvt Ltd",1,25,25,2024,2024
"Aragen Life Sciences Pvt Ltd",5,25,5,2007,2021
"Bumi Geo Engineering Pvt Ltd",2,25,12.5,2008,2011
"Bush Foods Overseas Pvt., Ltd.",1,25,25,2011,2011
"Cleartrip Travel Services Pvt Ltd",6,25,4.16666666666667,2008,2008
"Edunetwork Pvt Ltd",17,25,1.47058823529412,2019,2021
"Electrodrive Powertrain Solutions Pvt Ltd",1,25,25,2022,2022
"Flexituff Ventures International Ltd",1,25,25,2013,2013
"Hindustan Media Ventures Ltd",3,25,8.33333333333333,2015,2016
"Nivriti Solutions Global Pvt Ltd",1,25,25,2023,2023
"Pipavav Shipyard, Ltd.",5,25,5,2007,2007
"Portea Medical Health Vista Pvt Ltd",6,25,4.16666666666667,2017,2018
"Samson Maritime Ltd",1,25,25,2014,2014
"Saravana Energy  Ltd (Dba  Saravana Global Energy Limited)",1,25,25,2008,2008
"Sical Logistics Ltd",1,25,25,2007,2007
"Wave Hi-Tech City",1,25,25,2007,2007
"Wysarium India Pvt Ltd",14,25,1.78571428571429,2019,2022
"ZCL Chemicals Ltd",2,25,12.5,2016,2021
"ATS Housing Gurgaon",1,24,24,2013,2013
"Adlabs Entertainment Ltd",1,24,24,2013,2013
"Citrus Payment Solutions Pvt Ltd",3,24,8,2015,2015
"Coastal Aquaculture Research Institute Pvt Ltd",15,24,1.6,2021,2024
"DRS Group",2,24,12,2007,2007
"Draftspotting Technologies Pvt Ltd",6,24,4,2023,2023
"Healthplix Technologies Pvt Ltd",9,24,2.66666666666667,2018,2021
"Infinite Uptime India Pvt Ltd",13,24,1.84615384615385,2020,2023
"Lemnisk Pvt. Ltd",10,24,2.66666666666667,2011,2022
"Manipal Health Enterprises Pvt Ltd",20,24,1.2,2010,2024
"Nephrocare Health Services Pvt Ltd",4,24,6,2014,2016
"Parsvnath Developers, Ltd. - Undisclosed Township Project",1,24,24,2012,2012
"Rico Auto Industries Ltd",3,24,8,2005,2005
"Southern Health Foods Pvt Ltd",1,24,24,2018,2018
"Stanley Lifestyles Ltd",1,24,24,2018,2018
"Terrals Technologies Pvt Ltd",8,24,3,2022,2022
"Adonmo Pvt Ltd",10,23,2.3,2022,2024
"Allsec Technologies Ltd",4,23,5.75,2006,2007
"Dr Reddy's Laboratories Ltd",1,23,23,2005,2005
"EPL Ltd",2,23,11.5,2019,2021
"Eatclub Brands Pvt Ltd",7,23,3.28571428571429,2016,2019
"Homeville Consulting Pvt Ltd",15,23,1.53333333333333,2021,2023
"India World Technologies Pvt Ltd",4,23,5.75,2014,2014
"Maini Precision Products Ltd",3,23,7.66666666666667,2005,2016
"Parksons Packaging Limited",7,23,3.28571428571429,2006,2023
"Pathways World School",1,23,23,2010,2010
"Ruptub Solutions Pvt Ltd",16,23,1.4375,2020,2021
"Satsure Analytics India Pvt Ltd",25,23,0.92,2021,2024
"Shilpa Medicare, Ltd.",4,23,5.75,2006,2012
"Srinivasa Farms Pvt Ltd",1,23,23,2019,2019
"Technology Frontiers (India) Pvt Ltd",4,23,5.75,2010,2018
"Ujoy Technology Pvt Ltd",7,23,3.28571428571429,2021,2023
"Aayuv Technologies Pvt Ltd",10,22,2.2,2019,2022
"Comfort Grid Technologies Pvt Ltd",2,22,11,2023,2023
"Curatio Health Care (I) Pvt Ltd",4,22,5.5,2005,2018
"Grasper Global Pvt Ltd",6,22,3.66666666666667,2021,2022
"Gulshan Homz - Realty Project",1,22,22,2019,2019
"HealthMaP Diagnostics Pvt Ltd",2,22,11,2019,2019
"Hindustan Foods Ltd",2,22,11,2019,2022
"John Energy Ltd",1,22,22,2010,2010
"K S Oils Ltd",5,22,4.4,2007,2009
"Leap Green Energy Pvt Ltd",4,22,5.5,2011,2024
"Magenta EV Solutions Pvt Ltd",2,22,11,2023,2023
"Max Flex & Imaging Systems Ltd",1,22,22,2011,2011
"Mpaani Solutions Pvt Ltd",12,22,1.83333333333333,2019,2021
"Network 18 Media & Investments, Ltd.",2,22,11,2009,2011
"PC Jeweller Ltd",1,22,22,2015,2015
"Sanctum Wealth Pvt Ltd",2,22,11,2018,2021
"Sharda Cropchem Ltd",1,22,22,2008,2008
"Starlight Systems Pvt Ltd",2,22,11,2009,2009
"Va Tech Wabag Ltd",6,22,3.66666666666667,2005,2021
"Vidooly Media Tech Pvt Ltd",2,22,11,2019,2019
"Adventity  Pvt Ltd",3,21,7,2007,2007
"Agnext Technologies Pvt Ltd",3,21,7,2021,2021
"Blupin Technologies Pvt Ltd",12,21,1.75,2022,2024
"Damensch Apparel Pvt Ltd",9,21,2.33333333333333,2022,2024
"Epack Durable Pvt Ltd",3,21,7,2021,2021
"Guardian Lifecare Pvt Ltd",1,21,21,2008,2008
"R Retail Ventures Pvt Ltd",1,21,21,2019,2019
"Residential Project, Alibaug - Mumbai",1,21,21,2008,2008
"Scripbox Advisors Pvt Ltd",6,21,3.5,2016,2019
"Sprinto Technology Pvt Ltd",3,21,7,2024,2024
"Treis Solutions LLP",3,21,7,2023,2023
"Webaroo",7,21,3,2010,2011
"Alt NRG Pvt Ltd",12,20,1.66666666666667,2024,2024
"Amalgamated Bean Coffee Trading Company, Ltd.",2,20,10,2006,2008
"BPL Medical Technologies Pvt Ltd",2,20,10,2013,2015
"Butterfly Gandhimathi Appliances Ltd",1,20,20,2012,2012
"Camions Logistics Solutions Pvt Ltd",2,20,10,2021,2021
"DBM Geotechnics and Constructions Pvt Ltd",1,20,20,2012,2012
"FIITJEE Ltd",2,20,10,2009,2011
"Future Towers",1,20,20,2012,2012
"Godrej Landmark Redevelopers, Pvt., Ltd",1,20,20,2012,2012
"Hallmark Infrastructure Pvt., Ltd.-Residential Projects(2)",1,20,20,2012,2012
"Igenetic Diagnostics Pvt Ltd",1,20,20,2017,2017
"Indiabulls Credit Services Ltd",1,20,20,2006,2006
"J.S Hospitality Services Pvt., Ltd.",1,20,20,2011,2011
"Kapstone Constructions Pvt Ltd",1,20,20,2006,2006
"Kuhoo Technology Services Pvt Ltd",1,20,20,2022,2022
"La Opala R G Ltd",2,20,10,2014,2016
"Luminous Power Technologies Pvt Ltd",2,20,10,2007,2007
"Microland Ltd",9,20,2.22222222222222,2005,2015
"Mintoak Innovations Pvt Ltd",5,20,4,2023,2023
"Nehat Tech Solutions Pvt Ltd",5,20,4,2022,2022
"Ortel Communications Ltd",2,20,10,2008,2008
"Paranjape Schemes (Construction), Ltd. - Project in Mumbai",1,20,20,2012,2012
"Sarovar Hotels & Resorts",5,20,4,2005,2009
"Sekhmet Technologies Pvt Ltd",9,20,2.22222222222222,2021,2023
"Shaily Engineering Plastics Limited",2,20,10,2021,2021
"Shree Ganesh Jewellery House (I) Ltd",1,20,20,2008,2008
"Sohan Lal Commodity Management Pvt Ltd",2,20,10,2017,2017
"Solvy Tech Solutions Pvt Ltd",2,20,10,2015,2015
"Suvidhaa Infoserve Ltd",5,20,4,2010,2011
"Svogl Oil Gas and Energy Ltd",3,20,6.66666666666667,2007,2011
"Tech4billion Media Pvt Ltd",11,20,1.81818181818182,2022,2023
"Turtle Shell Technologies Pvt Ltd",14,20,1.42857142857143,2021,2023
"Uniparts India Ltd",1,20,20,2008,2008
"Vy Labs Technologies Pvt Ltd",1,20,20,2022,2022
"iBus Network Pvt Ltd",4,20,5,2021,2024
"Alphion India Pvt Ltd",1,19,19,2011,2011
"Attune Technologies Pvt Ltd",5,19,3.8,2012,2015
"Ebixcash Mobility Software India Ltd",4,19,4.75,2009,2012
"Electrotherm (India) Ltd",1,19,19,2007,2007
"Imc Ltd",1,19,19,2010,2010
"Le Travenues Technology Ltd",2,19,9.5,2011,2011
"Moolchand Healthcare",1,19,19,2012,2012
"Multi Commodity Exchange of India Ltd",7,19,2.71428571428571,2007,2013
"Neesa Leisure Ltd",1,19,19,2008,2008
"Palais Royale Residential Building",1,19,19,2012,2012
"Ramkrishna Forgings Ltd",3,19,6.33333333333333,2006,2013
"Shriram Properties Residential Project",1,19,19,2012,2012
"Supergaming Pte Ltd",9,19,2.11111111111111,2021,2024
"Supertech Supernova Project",1,19,19,2012,2012
"Surfboats Solutions Pvt Ltd",12,19,1.58333333333333,2019,2022
"Bhoruka Power Corporation Ltd",1,18,18,2008,2008
"Bighaat Agro Pvt Ltd",7,18,2.57142857142857,2020,2022
"Cygnus Medicare Pvt Ltd",4,18,4.5,2014,2015
