"sdc_deal_number","company_name","exit_type","date_announced_filed","date_completed_issued","ticker","proceeds_amt_overallot_sold_all_markets_usd","acquiror_name","rank_value_incl_net_debt_sum_usd","rank_value_incl_net_debt_average_usd","rank_value_incl_net_debt_median_usd","m_a_deal_value_average_usd","m_a_deal_value_sum_usd","m_a_deal_value_median_usd","value_of_earnout_average_usd","value_of_earnout_sum_usd","value_of_earnout_median_usd","purchase_price_average_usd","purchase_price_sum_usd","purchase_price_median_usd","time_to_exit_years","no_of_deals","no_of_ipos","no_of_deals_w_m_a_deal_value","exit_portfolio_company_trbc_industry_group","exit_portfolio_company_trbc_industry","exit_portfolio_company_trbc_economic_sector","exit_portfolio_company_trbc_business_sector","exit_portfolio_company_trbc_activity","exit_date_completed_issued_30","exit_portfolio_company_nation","exit_date_announced_filed_32","exit_date_completed_issued_33","exit_date_completed_issued_34","exit_date_announced_filed_35","exit_date_completed_issued_36","exit_date_completed_issued_37","exit_date_announced_filed_38","exit_date_completed_issued_39","exit_year","company","exit_value","sector"
"154084731471","Shoppers Stop Ltd.","IPO","15/04/2005","05/05/2005","SHOPER",38.12,NA,0,0,0,0,0,0,0,0,0,0,0,0,5.1,1,1,0,"Diversified Retail","Department Stores","Consumer Cyclicals","Retailers","Department Stores (NEC)","05/05/2005","India","15/04/2005","05/05/2005","05/05/2005","15/04/2005","05/05/2005","05/05/2005","15/04/2005","05/05/2005",NA,"Shoppers Stop Ltd.",154084731471,"Diversified Retail"
"154085377261","Sbi Cards & Payment Services Limited","IPO","26/11/2019","06/03/2020","SBICAR",1399.27,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Banking Services","Consumer Lending","Financials","Banking & Investment Services","Consumer Leasing","06/03/2020","India","26/11/2019","06/03/2020","06/03/2020","26/11/2019","06/03/2020","06/03/2020","26/11/2019","06/03/2020",NA,"Sbi Cards & Payment Services Limited",154085377261,"Banking Services"
"154084934459","Sadbhav Infrastructure Projects Ltd","IPO","04/12/2014","08/09/2015","SADBHI",74.17,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,"Construction & Engineering","Construction & Engineering","Industrials","Industrial & Commercial Services","Construction & Engineering (NEC)","08/09/2015","India","04/12/2014","08/09/2015","08/09/2015","04/12/2014","08/09/2015","08/09/2015","04/12/2014","08/09/2015",NA,"Sadbhav Infrastructure Projects Ltd",154084934459,"Construction & Engineering"
"154084737579","Punj Lloyd Ltd","IPO","18/11/2005","17/12/2005","PUNJL",141.96,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1,1,0,"Construction & Engineering","Construction & Engineering","Industrials","Industrial & Commercial Services","Construction & Engineering (NEC)","17/12/2005","India","18/11/2005","17/12/2005","17/12/2005","18/11/2005","17/12/2005","17/12/2005","18/11/2005","17/12/2005",NA,"Punj Lloyd Ltd",154084737579,"Construction & Engineering"
"154088410201","Premier Energies Ltd","IPO","07/03/2024","29/08/2024","PREMIE",337.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1,1,0,"Electric Utilities & IPPs","Electric Utilities","Utilities","Utilities","Solar Electric Utilities","29/08/2024","India","07/03/2024","29/08/2024","29/08/2024","07/03/2024","29/08/2024","29/08/2024","07/03/2024","29/08/2024",NA,"Premier Energies Ltd",154088410201,"Electric Utilities & IPPs"
"154084844348","PNC Infratech Ltd","IPO","25/09/2014","25/05/2015","PNCINF",76.94,NA,0,0,0,0,0,0,0,0,0,0,0,0,4.4,1,1,0,"Construction & Engineering","Construction & Engineering","Industrials","Industrial & Commercial Services","Construction & Engineering (NEC)","25/05/2015","India","25/09/2014","25/05/2015","25/05/2015","25/09/2014","25/05/2015","25/05/2015","25/09/2014","25/05/2015",NA,"PNC Infratech Ltd",154084844348,"Construction & Engineering"
"154084825771","Persistent Systems Ltd","IPO","25/10/2007","17/03/2010","PERSIS",37.03,NA,0,0,0,0,0,0,0,0,0,0,0,0,9.8,1,1,0,"Software & IT Services","IT Services & Consulting","Technology","Software & IT Services","IT Services & Consulting (NEC)","17/03/2010","India","25/10/2007","17/03/2010","17/03/2010","25/10/2007","17/03/2010","17/03/2010","25/10/2007","17/03/2010",NA,"Persistent Systems Ltd",154084825771,"Software & IT Services"
"154085505560","Paytm E-Commerce Pvt Ltd","IPO","15/07/2021","10/11/2021","PAYT",2459.74,NA,0,0,0,0,0,0,0,0,0,0,0,0,14.6,1,1,0,"Software & IT Services","Software","Technology","Software & IT Services","Mobile Application Software","10/11/2021","India","15/07/2021","10/11/2021","10/11/2021","15/07/2021","10/11/2021","10/11/2021","15/07/2021","10/11/2021",NA,"Paytm E-Commerce Pvt Ltd",154085505560,"Software & IT Services"
"154084868776","Ortel Communications Ltd","IPO","16/03/2011","19/03/2015","ORTEL",34.76,NA,0,0,0,0,0,0,0,0,0,0,0,0,15.5,1,1,0,"Media & Publishing","Broadcasting","Consumer Cyclicals","Cyclical Consumer Services","Broadcasting (NEC)","19/03/2015","India","16/03/2011","19/03/2015","19/03/2015","16/03/2011","19/03/2015","19/03/2015","16/03/2011","19/03/2015",NA,"Ortel Communications Ltd",154084868776,"Media & Publishing"
"154087121695","Ola Electric Mobility Pvt Ltd","IPO","04/10/2019","06/08/2024","OLAELE",732.29,NA,0,0,0,0,0,0,0,0,0,0,0,0,5.4,1,1,0,"Automobiles & Auto Parts","Auto, Truck & Motorcycle Parts","Consumer Cyclicals","Automobiles & Auto Parts","Auto, Truck & Motorcycle Parts (NEC)","06/08/2024","India","04/10/2019","06/08/2024","06/08/2024","04/10/2019","06/08/2024","06/08/2024","04/10/2019","06/08/2024",NA,"Ola Electric Mobility Pvt Ltd",154087121695,"Automobiles & Auto Parts"
"154085131336","IndiaMART InterMESH Ltd","IPO","15/06/2018","15/06/2018","N\A",73.47,NA,0,0,0,0,0,0,0,0,0,0,0,0,9.4,1,1,0,"Software & IT Services","Online Services","Technology","Software & IT Services","E-commerce & Auction Services","15/06/2018","India","15/06/2018","15/06/2018","15/06/2018","15/06/2018","15/06/2018","15/06/2018","15/06/2018","15/06/2018",NA,"IndiaMART InterMESH Ltd",154085131336,"Software & IT Services"
"154085429462","Computer Age Management Services Limited","IPO","11/07/2019","23/09/2020","N\A",305.06,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,"Investment Banking & Investment Services","Financial & Commodity Market Operators & Service Providers","Financials","Banking & Investment Services","Financial & Commodity Market Operators & Service Providers (NEC)","23/09/2020","India","11/07/2019","23/09/2020","23/09/2020","11/07/2019","23/09/2020","23/09/2020","11/07/2019","23/09/2020",NA,"Computer Age Management Services Limited",154085429462,"Investment Banking & Investment Services"
"154087022930","Nykaa E-Retail Pvt Ltd","IPO","06/01/2021","01/11/2021","NYKAA",715.23,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.6,1,1,0,"Specialty Retailers","Miscellaneous Specialty Retailers","Consumer Cyclicals","Retailers","Personal Care Products Retailers","01/11/2021","India","06/01/2021","01/11/2021","01/11/2021","06/01/2021","01/11/2021","01/11/2021","06/01/2021","01/11/2021",NA,"Nykaa E-Retail Pvt Ltd",154087022930,"Specialty Retailers"
"154084940428","Nazara Technologies Limited","IPO","11/09/2017","19/03/2021","NAZARA",80.51,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Software & IT Services","Software","Technology","Software & IT Services","Software (NEC)","19/03/2021","India","11/09/2017","19/03/2021","19/03/2021","11/09/2017","19/03/2021","19/03/2021","11/09/2017","19/03/2021",NA,"Nazara Technologies Limited",154084940428,"Software & IT Services"
"154088176065","Akums Drugs & Pharmaceuticals Ltd","IPO","23/09/2023","01/08/2024","N/P",221.99,NA,0,0,0,0,0,0,0,0,0,0,0,0,4.6,1,1,0,"Pharmaceuticals","Pharmaceuticals","Healthcare","Pharmaceuticals & Medical Research","Pharmaceuticals (NEC)","01/08/2024","India","23/09/2023","01/08/2024","01/08/2024","23/09/2023","01/08/2024","01/08/2024","23/09/2023","01/08/2024",NA,"Akums Drugs & Pharmaceuticals Ltd",154088176065,"Pharmaceuticals"
"154084895860","Aurangabad Electricals Ltd","IPO","04/10/2011","04/10/2011","N/A",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,5.5,1,1,0,"Automobiles & Auto Parts","Auto, Truck & Motorcycle Parts","Consumer Cyclicals","Automobiles & Auto Parts","Auto, Truck & Motorcycle Parts (NEC)","04/10/2011","India","04/10/2011","04/10/2011","04/10/2011","04/10/2011","04/10/2011","04/10/2011","04/10/2011","04/10/2011",NA,"Aurangabad Electricals Ltd",154084895860,"Automobiles & Auto Parts"
"154084876695","Nuziveedu Seeds Ltd","IPO","01/11/2011","01/11/2011","N/A",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1,1,0,"Food & Tobacco","Fishing & Farming","Consumer Non-Cyclicals","Food & Beverages","Fishing & Farming (NEC)","01/11/2011","India","01/11/2011","01/11/2011","01/11/2011","01/11/2011","01/11/2011","01/11/2011","01/11/2011","01/11/2011",NA,"Nuziveedu Seeds Ltd",154084876695,"Food & Tobacco"
