"investee_company_name","investee_company_nation","investee_company_trbc_economic_sector","investment_date","round_number","investment_stage","firm_investor_name","fund_investor_name","investor_equity_total_usd_millions","disclosed_fund_equity_contribution_usd_millions","round_equity_total_usd_millions","disclosed_debt_contribution_usd_millions","deal_value_usd_millions","deal_rank_value_usd_millions","investment_year","sector","stage","company","deal_value","stage_category"
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Turbostart Global Events LLP","Turbostart - Unspecified Fund",1,0,10,0,0,10,2024,"Financials",5,"1t9 Technology Pvt Ltd",1,"Other"
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,10,0,0,10,2024,"Financials",5,"1t9 Technology Pvt Ltd",1,"Other"
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,10,0,0,10,2024,"Financials",5,"1t9 Technology Pvt Ltd",1,"Other"
"1t9 Technology Pvt Ltd","India","Financials",2024-02-06,5,"Expansion","Z47","Matrix Partners India IV, L.P.",1,0,10,0,0,10,2024,"Financials",5,"1t9 Technology Pvt Ltd",1,"Other"
"247 Learning Solutions Pvt  Ltd (Aka  24x7 Learning)","India","Technology",2007-10-06,1,"Expansion","Capital18","Capital18 - Unspecified Fund",4,4,4,0,0,4,2007,"Technology",1,"247 Learning Solutions Pvt  Ltd (Aka  24x7 Learning)",4,"Other"
"3C Residential Project","India","Consumer Cyclicals",2012-02-22,1,"Real Estate","Red Fort Capital Advisors Pvt Ltd","Red Fort India Real Estate Fund II LLC",30,30,30,0,0,30,2012,"Consumer Cyclicals",1,"3C Residential Project",30,"Other"
"3M India Ltd","India","Consumer Non-Cyclicals",2005-10-03,1,"LBO","Bridgepoint Advisers II Ltd","Hermes Private Equity Partners II",109,109,109,0,109,109,2005,"Consumer Non-Cyclicals",1,"3M India Ltd",109,"Other"
"4Basecare Genomics Pvt Ltd","India","Healthcare",2024-08-12,2,"Expansion","Undisclosed Firm","Undisclosed Fund",3,0,6,0,0,6,2024,"Healthcare",2,"4Basecare Genomics Pvt Ltd",3,"Other"
"4Basecare Genomics Pvt Ltd","India","Healthcare",2024-08-12,2,"Expansion","Yali Capital","Yali Capital",3,0,6,0,0,6,2024,"Healthcare",2,"4Basecare Genomics Pvt Ltd",3,"Other"
"4Basecare Genomics Pvt Ltd","India","Healthcare",2024-12-15,3,"Expansion","Infosys Ltd","Infosys Innovation Fund",0,0,0,0,0,0,2024,"Healthcare",3,"4Basecare Genomics Pvt Ltd",0,"Other"
