"investee_company_name","investee_company_nation","investee_company_trbc_economic_sector","investment_date","round_number","investment_stage","firm_investor_name","fund_investor_name","investor_equity_total_usd_millions","disclosed_fund_equity_contribution_usd_millions","round_equity_total_usd_millions","disclosed_debt_contribution_usd_millions","deal_value_usd_millions","deal_rank_value_usd_millions","investment_year","sector","stage","company","deal_value","stage_category"
"Globela Pharma Pvt Ltd","India","Healthcare",2021-10-06,1,"Acquisition","Somerset Indus Capital Partners","Somerset Indus Capital Partners - Unspecified Fund",0,0,0,0,0,0,2021,"Healthcare",1,"Globela Pharma Pvt Ltd",0,"Other"
"Globus Spirits Ltd","India","Consumer Non-Cyclicals",2013-03-19,1,"PIPE","Templeton Asset Management Ltd","Templeton Strategic Emerging Markets IV, L.P.",17,17,17,0,0,17,2013,"Consumer Non-Cyclicals",1,"Globus Spirits Ltd",17,"Other"
"Glocal Healthcare Systems Pvt Ltd","India","Healthcare",2011-01-31,1,"Expansion","Elevar Equity Advisors Pvt Ltd","Elevar Equity II",2,0,3,0,0,3,2011,"Healthcare",1,"Glocal Healthcare Systems Pvt Ltd",2,"Other"
"Glocal Healthcare Systems Pvt Ltd","India","Healthcare",2011-01-31,1,"Expansion","Peak Xv Partners","Peak XV Partners - Unspecified Fund",2,0,3,0,0,3,2011,"Healthcare",1,"Glocal Healthcare Systems Pvt Ltd",2,"Other"
"Glocal Healthcare Systems Pvt Ltd","India","Healthcare",2013-09-10,2,"Expansion","SIDBI Venture Capital Ltd","Samridhi Fund",4,4,4,0,0,4,2013,"Healthcare",2,"Glocal Healthcare Systems Pvt Ltd",4,"Other"
"GMM Pfaudler Ltd","India","Industrials",2023-08-18,1,"Acquisition","ChrysCapital LLP","ChrysCapital Management Companies - Unspecified Fund",0,0,0,0,73,73,2023,"Industrials",1,"GMM Pfaudler Ltd",0,"Other"
"GMM Pfaudler Ltd","India","Industrials",2023-08-18,1,"Acquisition","Undisclosed Firm","Undisclosed Fund",0,0,0,0,73,73,2023,"Industrials",1,"GMM Pfaudler Ltd",0,"Other"
"GMR Airports Ltd","India","Industrials",2011-07-07,1,"Acquisition","Affirma Capital Managers Singapore Pte Ltd","Affirma Capital Managers Singapore Pte Ltd -UF",33,0,132,0,132,132,2011,"Industrials",1,"GMR Airports Ltd",33,"Other"
"GMR Airports Ltd","India","Industrials",2011-07-07,1,"Acquisition","Jm Finl Invest Managers Ltd","JM Financial India Fund",33,0,132,0,132,132,2011,"Industrials",1,"GMR Airports Ltd",33,"Other"
"GMR Airports Ltd","India","Industrials",2011-07-07,1,"Acquisition","Undisclosed Firm","Undisclosed Fund",33,0,132,0,132,132,2011,"Industrials",1,"GMR Airports Ltd",33,"Other"
"GMR Airports Ltd","India","Industrials",2011-07-07,1,"Acquisition","Undisclosed Firm","Undisclosed Fund",33,0,132,0,132,132,2011,"Industrials",1,"GMR Airports Ltd",33,"Other"
"GMR Airports Ltd","India","Industrials",2019-03-27,2,"Pending Acquisition","Ares SSG Capital Management Hong Kong Ltd","SSG Capital Partners IV, L.P.",0,0,0,0,1158,1158,2019,"Industrials",2,"GMR Airports Ltd",0,"Other"
"GMR Airports Ltd","India","Industrials",2019-03-27,2,"Pending Acquisition","GIC Special Investments Pte Ltd","GIC Pvt Ltd - Unspecified Fund",0,0,0,0,1158,1158,2019,"Industrials",2,"GMR Airports Ltd",0,"Other"
"GMR Airports Ltd","India","Industrials",2019-03-27,2,"Pending Acquisition","Undisclosed Firm","Undisclosed Fund",0,0,0,0,1158,1158,2019,"Industrials",2,"GMR Airports Ltd",0,"Other"
"GMR Energy Ltd","India","Utilities",2014-02-24,3,"Bridge Loan","IDFC Alternatives Ltd","IDFC Private Equity Fund III",92,0,183,0,0,183,2014,"Utilities",3,"GMR Energy Ltd",92,"Other"
"GMR Energy Ltd","India","Utilities",2014-02-24,3,"Bridge Loan","Temasek Holdings Pvt Ltd","Temasek Holdings (Pvt) Ltd - Unspecified Fund",92,0,183,0,0,183,2014,"Utilities",3,"GMR Energy Ltd",92,"Other"
"GMR Infrastructure Ltd","India","Industrials",2006-05-01,1,"Expansion","ICICI Venture Funds Management Company Ltd","ICICI Venture Funds Management Co Ltd - Unspecified Fund",56,56,56,0,0,56,2006,"Industrials",1,"GMR Infrastructure Ltd",56,"Other"
"GMR Infrastructure Ltd","India","Industrials",2007-12-20,2,"PIPE","Capital International Inc","Capital International Private Equity Fund V, L.P.",0,0,0,0,0,0,2007,"Industrials",2,"GMR Infrastructure Ltd",0,"Other"
"GMR Infrastructure Ltd","India","Industrials",2007-12-20,2,"PIPE","Citigroup Private Bank (Us)","Citigroup Private Bank - Unspecified Fund",0,0,0,0,0,0,2007,"Industrials",2,"GMR Infrastructure Ltd",0,"Other"
"GMR Infrastructure Ltd","India","Industrials",2007-12-20,2,"PIPE","SBI Capital Ventures","SBI Capital Ventures/SBI Holdings Fund",0,0,0,0,0,0,2007,"Industrials",2,"GMR Infrastructure Ltd",0,"Other"
"GMR Infrastructure Ltd","India","Industrials",2007-12-20,2,"PIPE","T. Rowe Price Threshold Partnerships","T. Rowe Price Threshold Partnerships - Unspecified Fund",0,0,0,0,0,0,2007,"Industrials",2,"GMR Infrastructure Ltd",0,"Other"
"GMR Infrastructure Ltd","India","Industrials",2007-12-20,2,"PIPE","UBS Capital Corp","UBS Capital Corporation - Unspecified Fund",0,0,0,0,0,0,2007,"Industrials",2,"GMR Infrastructure Ltd",0,"Other"
"GMR Infrastructure Ltd","India","Industrials",2007-12-20,2,"PIPE","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2007,"Industrials",2,"GMR Infrastructure Ltd",0,"Other"
"GMR Infrastructure Ltd","India","Industrials",2007-12-20,2,"PIPE","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2007,"Industrials",2,"GMR Infrastructure Ltd",0,"Other"
"GMR Infrastructure Ltd","India","Industrials",2007-12-20,2,"PIPE","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2007,"Industrials",2,"GMR Infrastructure Ltd",0,"Other"
"Gmr Kamalanga Energy Ltd","India","Energy",2009-10-08,1,"Acquisition","AMP Capital Investors Ltd","AMP Capital Investors, Ltd. - Unspecified Fund",0,0,0,0,0,0,2009,"Energy",1,"Gmr Kamalanga Energy Ltd",0,"Other"
"Gmr Kamalanga Energy Ltd","India","Energy",2009-10-08,1,"Acquisition","IDFC Alternatives Ltd","IDFC Private Equity Fund III",0,0,0,0,0,0,2009,"Energy",1,"Gmr Kamalanga Energy Ltd",0,"Other"
"GMR Visakhapatnam International Airport Ltd","India","Industrials",2023-12-22,1,"Pending Acquisition","National Investment & Infrastructure Fund Limited","NIIF Master Fund",0,0,0,0,81,81,2023,"Industrials",1,"GMR Visakhapatnam International Airport Ltd",0,"Other"
"Gnani Innovations Pvt Ltd","India","Technology",2019-07-10,1,"Expansion","Samsung Venture Investment Corp","Samsung Venture Investment Corporation - Unspecified Fund",0,0,0,0,0,0,2019,"Technology",1,"Gnani Innovations Pvt Ltd",0,"Other"
"Go Desi Mandi Pvt Ltd","India","Consumer Non-Cyclicals",2024-05-02,2,"Expansion","Aavishkaar Venture Management Services Pvt Ltd","Aavishkaar India Fund VI",1,0,5,0,0,5,2024,"Consumer Non-Cyclicals",2,"Go Desi Mandi Pvt Ltd",1,"Other"
"Go Desi Mandi Pvt Ltd","India","Consumer Non-Cyclicals",2024-05-02,2,"Expansion","DSG Consumer Partners","DSG Consumer Partners - Unspecified Fund",1,0,5,0,0,5,2024,"Consumer Non-Cyclicals",2,"Go Desi Mandi Pvt Ltd",1,"Other"
"Go Desi Mandi Pvt Ltd","India","Consumer Non-Cyclicals",2024-05-02,2,"Expansion","Roots Ventures LLP","Roots Ventures I",1,0,5,0,0,5,2024,"Consumer Non-Cyclicals",2,"Go Desi Mandi Pvt Ltd",1,"Other"
"Go Desi Mandi Pvt Ltd","India","Consumer Non-Cyclicals",2024-05-02,2,"Expansion","Rukam Capital","Rukam Capital - Unspecified Fund",1,0,5,0,0,5,2024,"Consumer Non-Cyclicals",2,"Go Desi Mandi Pvt Ltd",1,"Other"
"Go Digit General Insurance Ltd","India","Financials",2021-07-02,2,"Expansion","Faering Capital Pvt Ltd","Faering Capital II",50,0,200,0,0,200,2021,"Financials",2,"Go Digit General Insurance Ltd",50,"Other"
"Go Digit General Insurance Ltd","India","Financials",2021-07-02,2,"Expansion","IIFL Finance Ltd","IIFL Seed Ventures Fund II",50,0,200,0,0,200,2021,"Financials",2,"Go Digit General Insurance Ltd",50,"Other"
"Go Digit General Insurance Ltd","India","Financials",2021-07-02,2,"Expansion","Peak Xv Partners","Peak XV Partners - Unspecified Fund",50,0,200,0,0,200,2021,"Financials",2,"Go Digit General Insurance Ltd",50,"Other"
"Go Digit General Insurance Ltd","India","Financials",2021-07-02,2,"Expansion","Undisclosed Firm","Undisclosed Fund",50,0,200,0,0,200,2021,"Financials",2,"Go Digit General Insurance Ltd",50,"Other"
"Go Fashion (India) Ltd","India","Consumer Cyclicals",2014-11-18,1,"LBO","Peak Xv Partners","Peak XV Partners - Unspecified Fund",0,0,0,0,0,0,2014,"Consumer Cyclicals",1,"Go Fashion (India) Ltd",0,"Other"
"Goa Brewcrafts Pvt Ltd","India","Consumer Non-Cyclicals",2022-11-09,1,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,1,0,0,1,2022,"Consumer Non-Cyclicals",1,"Goa Brewcrafts Pvt Ltd",1,"Other"
"Goa Brewing Co","India","Consumer Non-Cyclicals",2022-11-09,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,1,0,0,1,2022,"Consumer Non-Cyclicals",1,"Goa Brewing Co",0,"Other"
"Goa Brewing Co","India","Consumer Non-Cyclicals",2022-11-09,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,1,0,0,1,2022,"Consumer Non-Cyclicals",1,"Goa Brewing Co",0,"Other"
"Goa Brewing Co","India","Consumer Non-Cyclicals",2022-11-09,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,1,0,0,1,2022,"Consumer Non-Cyclicals",1,"Goa Brewing Co",0,"Other"
"Goapptiv Private Ltd","India","Healthcare",2022-07-22,1,"Expansion","Cipla Ventures","Cipla Ventures - Unspecified Fund",0,0,0,0,0,0,2022,"Healthcare",1,"Goapptiv Private Ltd",0,"Other"
"Goapptiv Private Ltd","India","Healthcare",2022-07-22,1,"Expansion","HealthQuad Advisors Pvt Ltd","HealthQuad Fund II",0,0,0,0,0,0,2022,"Healthcare",1,"Goapptiv Private Ltd",0,"Other"
"Godaam Innovations Pvt Ltd","India","Industrials",2024-07-24,1,"Expansion","Faad Network Pvt Ltd","Faad Network - Unspecified Fund",0,0,0,0,0,0,2024,"Industrials",1,"Godaam Innovations Pvt Ltd",0,"Other"
"Goddard Technical Solutions Pvt Ltd","India","Financials",2021-05-03,4,"Bridge Loan","Alteria Capital Advisors Llp","Alteria Capital India Fund I",3,0,3,0,0,3,2021,"Financials",4,"Goddard Technical Solutions Pvt Ltd",3,"Other"
"Godhra Expressways Pvt Ltd","India","Industrials",2021-07-04,1,"Pending Acquisition","Kohlberg Kravis Roberts & Co LP","KKR & Co Inc - Unspecified Fund",0,0,0,0,0,0,2021,"Industrials",1,"Godhra Expressways Pvt Ltd",0,"Other"
"Godrej Agrovet Ltd","India","Consumer Non-Cyclicals",2012-12-17,1,"Pending Acquisition","Temasek Holdings Pvt Ltd","Temasek Holdings (Pvt) Ltd - Unspecified Fund",0,0,0,0,104,104,2012,"Consumer Non-Cyclicals",1,"Godrej Agrovet Ltd",0,"Other"
"Godrej Consumer Products Ltd","India","Consumer Non-Cyclicals",2012-01-21,1,"PIPE","Temasek Holdings Pvt Ltd","Temasek Holdings (Pvt) Ltd - Unspecified Fund",136,136,136,0,0,136,2012,"Consumer Non-Cyclicals",1,"Godrej Consumer Products Ltd",136,"Other"
"Godrej Consumer Products Ltd","India","Consumer Non-Cyclicals",2016-05-25,2,"Acquisition for Expansion","Temasek Holdings Pvt Ltd","Temasek Holdings (Pvt) Ltd - Unspecified Fund",0,0,0,0,0,0,2016,"Consumer Non-Cyclicals",2,"Godrej Consumer Products Ltd",0,"Other"
"Godrej Landmark Redevelopers, Pvt., Ltd","India","Consumer Cyclicals",2012-04-01,1,"Real Estate","Ask Property Investment Advisors Pvt Ltd","ASK Group",20,20,20,0,0,20,2012,"Consumer Cyclicals",1,"Godrej Landmark Redevelopers, Pvt., Ltd",20,"Other"
"Godrej Premium Builders Pvt., Ltd.","India","Real Estate",2011-12-29,1,"Real Estate","Sun Apollo India Real Estate","SUN-Apollo India Real Estate Fund",8,8,8,0,0,8,2011,"Real Estate",1,"Godrej Premium Builders Pvt., Ltd.",8,"Other"
"Godrej Properties, Ltd.","India","Industrials",2012-02-02,1,"Real Estate","Undisclosed Firm","Undisclosed Fund",100,100,100,0,0,100,2012,"Industrials",1,"Godrej Properties, Ltd.",100,"Other"
"Godrej Tea Ltd","India","Consumer Non-Cyclicals",2006-03-16,1,"Expansion","IL & FS Investment Managers Ltd","Leverage India Fund, The",7,0,14,0,0,14,2006,"Consumer Non-Cyclicals",1,"Godrej Tea Ltd",7,"Other"
"Godrej Tea Ltd","India","Consumer Non-Cyclicals",2006-03-16,1,"Expansion","IL & FS Investment Managers Ltd","South Asian Regional Apex Fund",7,0,14,0,0,14,2006,"Consumer Non-Cyclicals",1,"Godrej Tea Ltd",7,"Other"
"Gokaldas Exports Ltd","India","Consumer Cyclicals",2006-01-17,1,"PIPE","IL & FS Investment Managers Ltd","Leverage India Fund, The",10,10,10,0,0,10,2006,"Consumer Cyclicals",1,"Gokaldas Exports Ltd",10,"Other"
"Gokaldas Exports Ltd","India","Consumer Cyclicals",2008-02-21,2,"LBO","Blackstone Inc","Blackstone Group, L.P. - Unspecified Fund",0,0,0,0,116,116,2008,"Consumer Cyclicals",2,"Gokaldas Exports Ltd",0,"Other"
"Gokaldas Exports Ltd","India","Consumer Cyclicals",2022-10-01,3,"PIPE","Abu Dhabi Investment Authority","Abu Dhabi Investment Authority - Unspecified Fund",6,0,6,0,0,6,2022,"Consumer Cyclicals",3,"Gokaldas Exports Ltd",6,"Other"
"Gokaldas Exports Ltd","India","Consumer Cyclicals",2023-10-13,4,"PIPE","Catamaran Ventures","Catamaran Ventures - Unspecified Fund",0,0,0,0,0,0,2023,"Consumer Cyclicals",4,"Gokaldas Exports Ltd",0,"Other"
"Gokaldas Intimatewear Pvt Ltd","India","Consumer Cyclicals",2019-10-04,2,"LBO","Advent International LP","Advent International Corporation - Unspecified Fund",0,0,0,0,45,45,2019,"Consumer Cyclicals",2,"Gokaldas Intimatewear Pvt Ltd",0,"Other"
"GOL Offshore Ltd","India","Energy",2007-07-20,1,"PIPE","Carlyle Group Inc","Carlyle Asia Growth Partners III, L.P.",41,41,41,0,0,41,2007,"Energy",1,"GOL Offshore Ltd",41,"Other"
"GOL Offshore Ltd","India","Energy",2007-10-01,2,"PIPE","Carlyle Group Inc","Carlyle Asia Growth Partners III, L.P.",12,12,12,0,0,12,2007,"Energy",2,"GOL Offshore Ltd",12,"Other"
"Golden Gate Properties, Ltd.","India","Consumer Cyclicals",2012-01-22,1,"Real Estate","Jm Finl Invest Managers Ltd","JM Financial India Fund",40,40,40,0,0,40,2012,"Consumer Cyclicals",1,"Golden Gate Properties, Ltd.",40,"Other"
"Goli Vada Pav Pvt Ltd","India","Consumer Non-Cyclicals",2011-08-29,1,"Expansion","Ventureast","VenturEast Life Fund III LLC",5,5,5,0,0,5,2011,"Consumer Non-Cyclicals",1,"Goli Vada Pav Pvt Ltd",5,"Other"
"Good Brands for A Healthy Life Pvt Ltd","India","Industrials",2023-05-08,3,"Expansion","Ah Ventures India Pvt Ltd","AH! Ventures India Pvt Ltd - Unspecified Fund",0,0,0,0,0,0,2023,"Industrials",3,"Good Brands for A Healthy Life Pvt Ltd",0,"Other"
"Good Brands for A Healthy Life Pvt Ltd","India","Industrials",2023-05-08,3,"Expansion","Chandigarh Angels Network","Chandigarh Angels Network - Unspecified Fund",0,0,0,0,0,0,2023,"Industrials",3,"Good Brands for A Healthy Life Pvt Ltd",0,"Other"
"Good Brands for A Healthy Life Pvt Ltd","India","Industrials",2023-05-08,3,"Expansion","Chennai Angels","Chennai Angels, The",0,0,0,0,0,0,2023,"Industrials",3,"Good Brands for A Healthy Life Pvt Ltd",0,"Other"
"Good Brands for A Healthy Life Pvt Ltd","India","Industrials",2023-05-08,3,"Expansion","Keiretsu Forum","Keiretsu Forum - Unspecified Fund",0,0,0,0,0,0,2023,"Industrials",3,"Good Brands for A Healthy Life Pvt Ltd",0,"Other"
"Good Brands for A Healthy Life Pvt Ltd","India","Industrials",2023-05-08,3,"Expansion","Mumbai Angels Network Pvt Ltd","Mumbai Angels - Unspecified Fund",0,0,0,0,0,0,2023,"Industrials",3,"Good Brands for A Healthy Life Pvt Ltd",0,"Other"
"Good Brands for A Healthy Life Pvt Ltd","India","Industrials",2023-05-08,3,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2023,"Industrials",3,"Good Brands for A Healthy Life Pvt Ltd",0,"Other"
"Good Flippin Foods Pvt Ltd","India","Consumer Cyclicals",2023-06-20,1,"Expansion","Tanglin Venture Partners Pte Ltd","Tanglin Venture Fund II, LLC",4,0,4,0,0,4,2023,"Consumer Cyclicals",1,"Good Flippin Foods Pvt Ltd",4,"Other"
"Good Flippin Foods Pvt Ltd","India","Consumer Cyclicals",2024-04-18,2,"Expansion","Tanglin Venture Partners Pte Ltd","Tanglin Venture Fund II, LLC",4,0,4,0,0,4,2024,"Consumer Cyclicals",2,"Good Flippin Foods Pvt Ltd",4,"Other"
"Good Host Spaces Pvt Ltd","India","Consumer Cyclicals",2017-09-29,1,"LBO","Goldman Sachs Asset Management International LLC","Goldman Sachs Asset Management  - Unspecified Fund",0,0,0,0,40,40,2017,"Consumer Cyclicals",1,"Good Host Spaces Pvt Ltd",0,"Other"
"Good Host Spaces Pvt Ltd","India","Consumer Cyclicals",2017-09-29,1,"LBO","Undisclosed Firm","Undisclosed Fund",0,0,0,0,40,40,2017,"Consumer Cyclicals",1,"Good Host Spaces Pvt Ltd",0,"Other"
"Good Host Spaces Pvt Ltd","India","Consumer Cyclicals",2021-04-22,2,"Secondary Purchase","Goldman Sachs Asset Management International LLC","Goldman Sachs Asset Management  - Unspecified Fund",0,0,0,0,0,0,2021,"Consumer Cyclicals",2,"Good Host Spaces Pvt Ltd",0,"Other"
"Good Host Spaces Pvt Ltd","India","Consumer Cyclicals",2021-04-22,2,"Secondary Purchase","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2021,"Consumer Cyclicals",2,"Good Host Spaces Pvt Ltd",0,"Other"
"Good Host Spaces Pvt Ltd","India","Consumer Cyclicals",2021-04-22,2,"Secondary Purchase","Warburg Pincus LLC","Warburg Pincus Global Growth Fund",0,0,0,0,0,0,2021,"Consumer Cyclicals",2,"Good Host Spaces Pvt Ltd",0,"Other"
"Good Host Spaces Pvt Ltd","India","Consumer Cyclicals",2021-08-26,3,"Acquisition","Warburg Pincus LLC","Warburg Pincus Global Growth Fund",0,0,0,0,0,0,2021,"Consumer Cyclicals",3,"Good Host Spaces Pvt Ltd",0,"Other"
"Good Host Spaces Pvt Ltd","India","Consumer Cyclicals",2023-10-26,4,"Secondary Buyout","Alta Capital","Alta Capital - Unspecified Fund",0,0,0,0,320,320,2023,"Consumer Cyclicals",4,"Good Host Spaces Pvt Ltd",0,"Other"
"Good Roots Kitchenware Pvt Ltd","India","Consumer Non-Cyclicals",2024-12-04,3,"Expansion","DSG Consumer Partners","DSG Consumer Partners - Unspecified Fund",1,0,3,0,0,3,2024,"Consumer Non-Cyclicals",3,"Good Roots Kitchenware Pvt Ltd",1,"Other"
"Good Roots Kitchenware Pvt Ltd","India","Consumer Non-Cyclicals",2024-12-04,3,"Expansion","Rukam Capital","Rukam Capital - Unspecified Fund",1,0,3,0,0,3,2024,"Consumer Non-Cyclicals",3,"Good Roots Kitchenware Pvt Ltd",1,"Other"
"Good Roots Kitchenware Pvt Ltd","India","Consumer Non-Cyclicals",2024-12-04,3,"Expansion","White Whale Ventures","White Whale Ventures - Unspecified Fund",1,0,3,0,0,3,2024,"Consumer Non-Cyclicals",3,"Good Roots Kitchenware Pvt Ltd",1,"Other"
"Gooddot Enterprises Pvt Ltd","India","Technology",2021-07-29,1,"Expansion","Sixth Sense Ventures Advisors LLP","Sixth Sense India Opportunities  II",0,0,0,0,0,0,2021,"Technology",1,"Gooddot Enterprises Pvt Ltd",0,"Other"
"GoodDot Foods Pvt Ltd","India","Consumer Non-Cyclicals",2021-07-29,1,"Expansion","Sixth Sense Ventures Advisors LLP","Sixth Sense India Opportunities  I",0,0,0,0,0,0,2021,"Consumer Non-Cyclicals",1,"GoodDot Foods Pvt Ltd",0,"Other"
"Goodera Information Technologies Pvt Ltd","India","Industrials",2018-07-31,2,"Expansion","Elevation Capital","SAIF Partners - Unspecified Fund",0,0,0,0,0,0,2018,"Industrials",2,"Goodera Information Technologies Pvt Ltd",0,"Other"
"Goodera Information Technologies Pvt Ltd","India","Industrials",2018-07-31,2,"Expansion","Nexus Venture Partners","Nexus Venture Partners - Unspecified Fund",0,0,0,0,0,0,2018,"Industrials",2,"Goodera Information Technologies Pvt Ltd",0,"Other"
"Goodera Information Technologies Pvt Ltd","India","Industrials",2018-07-31,2,"Expansion","Omidyar Network India Advisors Pvt Ltd","Omidyar Network India Advisors Pvt Ltd - Unspecified Fund",0,0,0,0,0,0,2018,"Industrials",2,"Goodera Information Technologies Pvt Ltd",0,"Other"
"Gopal Snacks Ltd","India","Consumer Non-Cyclicals",2023-10-12,1,"Acquisition","360 One Wam Group","360 ONE Flexicap Fund",0,0,0,0,0,0,2023,"Consumer Non-Cyclicals",1,"Gopal Snacks Ltd",0,"Other"
"Gopal Snacks Ltd","India","Consumer Non-Cyclicals",2023-10-12,1,"Acquisition","Axis Asset Management Co Ltd","Axis Growth Avenues AIF - I",0,0,0,0,0,0,2023,"Consumer Non-Cyclicals",1,"Gopal Snacks Ltd",0,"Other"
"Gopal Snacks Ltd","India","Consumer Non-Cyclicals",2023-10-12,1,"Acquisition","White Oak Capital Management Consultants LLP","White Oak Capital Management Consultants LLP -UF",0,0,0,0,0,0,2023,"Consumer Non-Cyclicals",1,"Gopal Snacks Ltd",0,"Other"
"Gopi Vallabh Solutions Pvt Ltd","India","Technology",2009-03-25,2,"LBO","Lumis Partners","Lumis Partners - Unspecified Fund",0,0,0,0,0,0,2009,"Technology",2,"Gopi Vallabh Solutions Pvt Ltd",0,"Other"
"Gostops Hospitality Pvt Ltd","India","Consumer Cyclicals",2021-07-08,1,"Expansion","Chandigarh Angels Network","Chandigarh Angels Network - Unspecified Fund",0,0,1,0,0,1,2021,"Consumer Cyclicals",1,"Gostops Hospitality Pvt Ltd",0,"Other"
"Gostops Hospitality Pvt Ltd","India","Consumer Cyclicals",2021-07-08,1,"Expansion","Chennai Angels","Chennai Angels, The",0,0,1,0,0,1,2021,"Consumer Cyclicals",1,"Gostops Hospitality Pvt Ltd",0,"Other"
"Gostops Hospitality Pvt Ltd","India","Consumer Cyclicals",2021-07-08,1,"Expansion","Indian Angel Network Services Pvt Ltd","Indian Angel Network - Unspecified Fund",0,0,1,0,0,1,2021,"Consumer Cyclicals",1,"Gostops Hospitality Pvt Ltd",0,"Other"
"Gostops Hospitality Pvt Ltd","India","Consumer Cyclicals",2021-07-08,1,"Expansion","Lead Angels Network","Lead Angels Network- Unspecified Fund",0,0,1,0,0,1,2021,"Consumer Cyclicals",1,"Gostops Hospitality Pvt Ltd",0,"Other"
"Gostops Hospitality Pvt Ltd","India","Consumer Cyclicals",2021-07-08,1,"Expansion","LetsVenture Technologies Pvt Ltd","Future of India Fund",0,0,1,0,0,1,2021,"Consumer Cyclicals",1,"Gostops Hospitality Pvt Ltd",0,"Other"
"Gostops Hospitality Pvt Ltd","India","Consumer Cyclicals",2021-07-08,1,"Expansion","Mumbai Angels Network Pvt Ltd","Mumbai Angels - Unspecified Fund",0,0,1,0,0,1,2021,"Consumer Cyclicals",1,"Gostops Hospitality Pvt Ltd",0,"Other"
"Gostops Hospitality Pvt Ltd","India","Consumer Cyclicals",2021-07-08,1,"Expansion","Yuj Ventures Pte Ltd","Yuj Ventures - Unspecified Fund",0,0,1,0,0,1,2021,"Consumer Cyclicals",1,"Gostops Hospitality Pvt Ltd",0,"Other"
"Gostops Hospitality Pvt Ltd","India","Consumer Cyclicals",2021-07-08,1,"Expansion","Zeva Capsol Pvt Ltd","1Crowd Fund",0,0,1,0,0,1,2021,"Consumer Cyclicals",1,"Gostops Hospitality Pvt Ltd",0,"Other"
"Govind Kripa Infratech Pvt Ltd","India","Real Estate",2021-09-25,1,"Bridge Loan","SBICAP Ventures Ltd","SWAMIH Investment Fund I",0,0,0,0,0,0,2021,"Real Estate",1,"Govind Kripa Infratech Pvt Ltd",0,"Other"
"GP Petroleums Ltd","India","Energy",2008-12-31,1,"LBO","Navis Management Sdn Bhd","Navis Asia Fund V, L.P.",0,0,0,0,0,0,2008,"Energy",1,"GP Petroleums Ltd",0,"Other"
"GPI Textiles Ltd","India","Consumer Cyclicals",2006-09-15,1,"LBO","Avenue Capital Group LLC","Avenue Capital Group LLC - Unspecified Fund",0,0,0,0,43,43,2006,"Consumer Cyclicals",1,"GPI Textiles Ltd",0,"Other"
"GPL Finance & Investments Ltd","India","Consumer Non-Cyclicals",2020-08-21,1,"Pending Acquisition","White Oak Investments LLC","White Oak Investments LLC - Unspecified Fund",0,0,0,0,0,0,2020,"Consumer Non-Cyclicals",1,"GPL Finance & Investments Ltd",0,"Other"
"GPT Infraprojects Ltd","India","Industrials",2010-01-06,1,"PIPE","Nine Rivers Capital Management Ltd","Nine Rivers Capital Management, Ltd.",6,6,6,0,0,6,2010,"Industrials",1,"GPT Infraprojects Ltd",6,"Other"
"GPT Steel Industries Ltd","India","Industrials",2007-02-28,1,"Expansion","Aif Capital Asia Iii LP","AIF Capital, Ltd. - Unspecified Fund",0,0,0,0,0,0,2007,"Industrials",1,"GPT Steel Industries Ltd",0,"Other"
"Graceworks Realty & Leisure Pvt Ltd","India","Real Estate",2021-06-02,1,"Pending Acquisition","GIC Special Investments Pte Ltd","GIC Pvt Ltd - Unspecified Fund",0,0,0,0,0,0,2021,"Real Estate",1,"Graceworks Realty & Leisure Pvt Ltd",0,"Other"
"Gradatim It Ventures (India) Pvt Ltd","India","Industrials",2010-06-14,2,"Expansion","Reliance Venture Asset Management Ltd","Reliance Technology Ventures - Unspecified Fund",0,0,0,0,0,0,2010,"Industrials",2,"Gradatim It Ventures (India) Pvt Ltd",0,"Other"
"Grainpad Pvt Ltd","India","Healthcare",2021-10-28,1,"Expansion","Solarus Group Ltd","Solarus Group- Unspecified fund",0,0,0,0,0,0,2021,"Healthcare",1,"Grainpad Pvt Ltd",0,"Other"
"Grainpad Pvt Ltd","India","Healthcare",2021-10-28,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2021,"Healthcare",1,"Grainpad Pvt Ltd",0,"Other"
"Gram Power India Pvt Ltd","India","Utilities",2023-01-26,1,"Acquisition","I Squared Capital Advisors Group","I Squared Capital Advisors LLC - Unspecified Fund",0,0,0,0,100,100,2023,"Utilities",1,"Gram Power India Pvt Ltd",0,"Other"
"Gramalaya Urban & Rural Development Initiatives & Network","India","Financials",2011-11-30,1,"Expansion","Acumen Fund Inc","Acumen Fund - Unspecified Fund",1,1,1,0,0,1,2011,"Financials",1,"Gramalaya Urban & Rural Development Initiatives & Network",1,"Other"
