"deal_size_category","deal_count","total_value","avg_value","pct_count","pct_value"
"Micro (<$10M)",11013,15926,1.44610914373922,81.3247673903412,9.69230020204971
"Small ($10-50M)",1914,39490,20.632183908046,14.1338059370846,24.0329608802551
"Medium ($50-100M)",354,23068,65.1638418079096,2.6140894993354,14.038803281482
"Large ($100-500M)",218,37987,174.252293577982,1.60980652783931,23.1182599381679
"Mega (>$500M)",43,47845,1112.67441860465,0.317530645399498,29.1176756980452
